name,date,leben,lengthleben,idn,iplace,ibio,url
Domentijan,1210 - 1264,,0,118875612,0,0,http://www.deutsche-biographie.de/pnd118875612.html
"Donzelot, Jacques",1943 - ,,0,118932349,0,0,http://www.deutsche-biographie.de/pnd118932349.html
Domitius <Marsus>,[v1. Jh.],,0,100461654,0,0,http://www.deutsche-biographie.de/pnd100461654.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd130585025.html
Dominicus <de Monteluporum>,[um 1348],,0,104046511,0,0,http://www.deutsche-biographie.de/pnd104046511.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd123527147.html
Dominicus <Leo>,[um 1358/68],,0,102438714,0,0,http://www.deutsche-biographie.de/pnd102438714.html
"Domayr, Christoph",1676,,0,1031289135,1,0,http://www.deutsche-biographie.de/pnd1031289135.html
"Doenitz, Martha",1848 - ,,0,1036786773,0,0,http://www.deutsche-biographie.de/pnd1036786773.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd122135393.html
"Dohna, Heinrich zu",-,,0,1019725060,0,0,http://www.deutsche-biographie.de/pnd1019725060.html
"Dobschütz, Friedrich von",1601,,0,1011970430,1,0,http://www.deutsche-biographie.de/pnd1011970430.html
"Doerry, Martin",1955 - ,,0,12126114X,0,0,http://www.deutsche-biographie.de/pnd12126114X.html
"Donnoli, Alfonso Francesco",1635 - 1724,,0,1019725397,1,0,http://www.deutsche-biographie.de/pnd1019725397.html
"Donath, Gustav",1878 - 1965,,0,116177535,1,0,http://www.deutsche-biographie.de/pnd116177535.html
"Dohrenbusch, Hans",1904 - 1991,,0,1036791084,1,0,http://www.deutsche-biographie.de/pnd1036791084.html
Domenico <Leoni>,737-742,,0,1025281306,1,0,http://www.deutsche-biographie.de/pnd1025281306.html
"Donnelly, Ross",1761 - 1840,,0,1033335533,0,0,http://www.deutsche-biographie.de/pnd1033335533.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd124966268.html
"Doms, Stephanie",1988 - ,,0,1036795810,1,0,http://www.deutsche-biographie.de/pnd1036795810.html
"Domat, Jean",1625 - 1696,,0,119471175,0,0,http://www.deutsche-biographie.de/pnd119471175.html
Domitius <Nigrinus>,[2.Jh.n.Chr.],,0,10239170X,0,0,http://www.deutsche-biographie.de/pnd10239170X.html
"Donghi, Giovanni Stefano",1669 - ,,0,103344846X,1,0,http://www.deutsche-biographie.de/pnd103344846X.html
"Dommel, Gunther",1981 - ,,0,1036795403,1,0,http://www.deutsche-biographie.de/pnd1036795403.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd129597783.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd118638858.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd119037386.html
Donatianus,[4./5. Jh.],,0,102391742,0,0,http://www.deutsche-biographie.de/pnd102391742.html
"Domenig, Gerald",1953 - ,,0,118879960,0,0,http://www.deutsche-biographie.de/pnd118879960.html
"Dods-Withers, Isobelle Ann",1876 - 1939,,0,1036857964,0,0,http://www.deutsche-biographie.de/pnd1036857964.html
"Domašcyna, Róža",1951 - ,,0,128395702,0,0,http://www.deutsche-biographie.de/pnd128395702.html
"Dohm, Gaby",1943 - ,,0,121651614,0,0,http://www.deutsche-biographie.de/pnd121651614.html
Dominicus <Pichini>,[um 1331/43],,0,104048271,0,0,http://www.deutsche-biographie.de/pnd104048271.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd1027083846.html
"Donati, Girolamo",1454 - 1511,,0,104251468,0,0,http://www.deutsche-biographie.de/pnd104251468.html
"Dominici, Giovanni",1355 - 1419,,0,118879952,0,0,http://www.deutsche-biographie.de/pnd118879952.html
"Doetsch, Paul",1911 - 1981,,0,139609512,1,0,http://www.deutsche-biographie.de/pnd139609512.html
"Donadini, Ermenegildo Antonio",1847 - 1936,,0,123174627,1,0,http://www.deutsche-biographie.de/pnd123174627.html
Donzella Compiuta,[13. Jh.],,0,102428220,0,0,http://www.deutsche-biographie.de/pnd102428220.html
"Dorfles, Gillo",1910 - ,,0,118864904,1,0,http://www.deutsche-biographie.de/pnd118864904.html
"Dohnányi-Galafrès, Elsa von",1879 - ,,0,117032565,1,0,http://www.deutsche-biographie.de/pnd117032565.html
Dorax,1534-1543,,0,1035618362,1,0,http://www.deutsche-biographie.de/pnd1035618362.html
"Doederlin, Karl Reinhold",1917 - ,,0,104947273X,1,0,http://www.deutsche-biographie.de/pnd104947273X.html
Donatus <Metensis>,[um 769/91],,0,102565376,0,0,http://www.deutsche-biographie.de/pnd102565376.html
"Dominczyk, Dagmara",1976 - ,,0,140559159,1,0,http://www.deutsche-biographie.de/pnd140559159.html
"Dobrowsky, Vincenz",1812,,0,1036759792,1,0,http://www.deutsche-biographie.de/pnd1036759792.html
"Doppler, Michael",1874 - ,,0,116180153,0,0,http://www.deutsche-biographie.de/pnd116180153.html
Dominicus <de Blandrate>,[um 1470],,0,104045558,0,0,http://www.deutsche-biographie.de/pnd104045558.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd129811483.html
Domitianus <Quaestor>,[5. Jh.],,0,102391688,0,0,http://www.deutsche-biographie.de/pnd102391688.html
"Doering, Katharina von",1867 - ,,0,126502528,0,0,http://www.deutsche-biographie.de/pnd126502528.html
"Dobrowen, Issay",1891 - 1953,,0,103815651,1,0,http://www.deutsche-biographie.de/pnd103815651.html
"Donzelli, Domenico",1791 - 1873,,0,11617949X,0,0,http://www.deutsche-biographie.de/pnd11617949X.html
"Donzelli-Dupin, Antonia",1816-1821,,0,1033582662,0,0,http://www.deutsche-biographie.de/pnd1033582662.html
"Doering, Rudolph Peter Otto",1837,,0,1042046395,1,0,http://www.deutsche-biographie.de/pnd1042046395.html
"Doebner, August Wilhelm",1805 - 1871,,0,120136368,0,0,http://www.deutsche-biographie.de/pnd120136368.html
"Donaldson, Julia",1948 - ,,0,124452744,1,0,http://www.deutsche-biographie.de/pnd124452744.html
"Doering, O.",1876[19. Jh.],,0,1038038146,1,0,http://www.deutsche-biographie.de/pnd1038038146.html
"Doerr, Christoph Friedrich",1782 - 1841,,0,1012183246,1,0,http://www.deutsche-biographie.de/pnd1012183246.html
Donatus <Faesulanus>,[gest. ca. 874/77],,0,102433410,0,0,http://www.deutsche-biographie.de/pnd102433410.html
"Donauer, Christoph Sigmund",1593 - 1655,,0,123117631,1,0,http://www.deutsche-biographie.de/pnd123117631.html
Domnus <Antiochenus>,[442/449],,0,102391734,0,0,http://www.deutsche-biographie.de/pnd102391734.html
Dominicus <de Carpanis>,[15. Jh.],,0,102438528,0,0,http://www.deutsche-biographie.de/pnd102438528.html
"Donnell, Radka",1928 - ,,0,115519335,0,0,http://www.deutsche-biographie.de/pnd115519335.html
"Doppelmair, Johann",1661,,0,118064959,0,0,http://www.deutsche-biographie.de/pnd118064959.html
"Donne, John",1572 - 1631,,0,118526758,0,0,http://www.deutsche-biographie.de/pnd118526758.html
"Dorat, Claude Joseph",1734 - 1780,,0,100797083,0,0,http://www.deutsche-biographie.de/pnd100797083.html
