name,date,cities,funct,lat,longi,idn,iplace,ibio,url
"Alfieri, Vittorio",1749 - 1803,Asti,wirk0,44.897950,8.206839,11864808X,1,0,http://www.deutsche-biographie.de/pnd11864808X.html
"Alfieri, Vittorio",1749 - 1803,Florenz,wirk1,43.766669,11.250000,11864808X,1,0,http://www.deutsche-biographie.de/pnd11864808X.html
"Allerlay, Anna",1477 - 1554,,,,,12433394X,0,0,http://www.deutsche-biographie.de/pnd12433394X.html
"Alexei <Russland, Zar>",1629 - 1676,,,,,118501909,0,0,http://www.deutsche-biographie.de/pnd118501909.html
"Alt-Schäfer, Martina",1960 - ,,,,,129930695,0,0,http://www.deutsche-biographie.de/pnd129930695.html
"Alting, Gerard",1680-1692,,,,,117761389,0,0,http://www.deutsche-biographie.de/pnd117761389.html
"Almássy, Susanne",1916 - 2009,Wien,wirk0,48.208199,16.371690,11628806X,1,0,http://www.deutsche-biographie.de/pnd11628806X.html
"Almássy, Susanne",1916 - 2009,Wien,wirk1,48.208199,16.371690,11628806X,1,0,http://www.deutsche-biographie.de/pnd11628806X.html
"Allende Gossens, Salvador",1908 - 1973,,,,,118502085,0,0,http://www.deutsche-biographie.de/pnd118502085.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd1035260026.html
Alfonsus <Giennensis>,1327 - 1388,,,,,119186314,0,0,http://www.deutsche-biographie.de/pnd119186314.html
"Alkofer, Andreas-Pazifikus",1962 - 2006,,,,,115455418,0,0,http://www.deutsche-biographie.de/pnd115455418.html
"Altieri, Lorenzo",1671 - 1741,Rom,wirk0,41.894739,12.483900,1019727160,1,0,http://www.deutsche-biographie.de/pnd1019727160.html
"Altieri, Lorenzo",1671 - 1741,Rom,wirk1,41.894739,12.483900,1019727160,1,0,http://www.deutsche-biographie.de/pnd1019727160.html
"Alexander, Caspar",1623 - 1681,Kyritz,wirk0,52.942120,12.397040,121238539,1,0,http://www.deutsche-biographie.de/pnd121238539.html
"Alexander, Caspar",1623 - 1681,Wolfenbüttel,wirk1,52.164419,10.540950,121238539,1,0,http://www.deutsche-biographie.de/pnd121238539.html
"Alexander, Caspar",1623 - 1681,Holzminden,wirk2,51.827979,9.445499,121238539,1,0,http://www.deutsche-biographie.de/pnd121238539.html
"Allemann, Urs Georg",1955 - ,,,,,133535533,0,0,http://www.deutsche-biographie.de/pnd133535533.html
Alexander <Polyhistor>,[v100 -v40],,,,,118929828,0,0,http://www.deutsche-biographie.de/pnd118929828.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd121964795.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd14144312X.html
Alexis <Samius>,[v3./2. Jh.],,,,,102378878,0,0,http://www.deutsche-biographie.de/pnd102378878.html
"Alphen, Hieronymus Simonszoon van",1665 - 1742,,,,,117254991,0,0,http://www.deutsche-biographie.de/pnd117254991.html
"Alessandro, Alessandro d'",1461 - 1523,,,,,129700541,0,0,http://www.deutsche-biographie.de/pnd129700541.html
"Alexe, Radu-Mihai",1975 - ,Bukarest,wirk0,44.432250,26.106259,137259735,1,0,http://www.deutsche-biographie.de/pnd137259735.html
"Alpnach, Hans A.",1901 - 1969,,,,,130276049,0,0,http://www.deutsche-biographie.de/pnd130276049.html
"Allien, Ellen",1968 - ,Berlin,wirk0,52.500000,13.416669,134965655,1,0,http://www.deutsche-biographie.de/pnd134965655.html
Ali-Czeh,1920[20. Jh.],,,,,12744307X,0,0,http://www.deutsche-biographie.de/pnd12744307X.html
"Allegranti, Maddalena",1754 - 1801,Venedig,wirk0,45.438609,12.326670,139593810,1,0,http://www.deutsche-biographie.de/pnd139593810.html
"Allegranti, Maddalena",1754 - 1801,Regensburg,wirk1,49.015000,12.095560,139593810,1,0,http://www.deutsche-biographie.de/pnd139593810.html
"Alenza y Nieto, Leonardo",1807 - 1845,,,,,12889962X,0,0,http://www.deutsche-biographie.de/pnd12889962X.html
"Althausen, Ilse",1925 - ,Soest,wirk0,51.575580,8.106189,1042955867,1,0,http://www.deutsche-biographie.de/pnd1042955867.html
Alexius <Haller>,1421[1421],Nürnberg,wirk0,49.454166,11.775000,1012081710,1,0,http://www.deutsche-biographie.de/pnd1012081710.html
"Allston, Washington",1879 - 1843,London,wirk0,51.508530,-0.125740,118644831,1,0,http://www.deutsche-biographie.de/pnd118644831.html
"Allston, Washington",1879 - 1843,Rom,wirk1,41.894739,12.483900,118644831,1,0,http://www.deutsche-biographie.de/pnd118644831.html
"Almain, Jacques",1480 - 1515,,,,,119446782,0,0,http://www.deutsche-biographie.de/pnd119446782.html
Alfius <Avitus>,[2. Jh.],,,,,102378886,0,0,http://www.deutsche-biographie.de/pnd102378886.html
"Alexander <VIII., Papst>",1610 - 1691,,,,,11930466X,0,0,http://www.deutsche-biographie.de/pnd11930466X.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd12482711X.html
"Altenmüller, Hartwig",1938 - ,Bad Saulgau,wirk0,48.016759,9.500640,128442336,1,0,http://www.deutsche-biographie.de/pnd128442336.html
"Alonso, Dámaso",1898 - 1990,,,,,11864484X,0,0,http://www.deutsche-biographie.de/pnd11864484X.html
Alexander VI.,1431 bis 1503,Rom,wirk0,41.894739,12.483900,118501844,1,0,http://www.deutsche-biographie.de/pnd118501844.html
"Allebé, August",1838 - 1927,,,,,118846574,0,0,http://www.deutsche-biographie.de/pnd118846574.html
"Almeida Rozek, Maria do Rosário de Matos da Silva",1957 - ,,,,,172856051,0,0,http://www.deutsche-biographie.de/pnd172856051.html
Alethes,1831[19. Jh.],,,,,1050803981,0,0,http://www.deutsche-biographie.de/pnd1050803981.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd128965428.html
"Alker, Hermann",1885 - 1967,Karlsruhe,wirk0,49.004719,8.385830,118992376,1,0,http://www.deutsche-biographie.de/pnd118992376.html
"Alexander, Gerhard",1903 - 1988,Berlin,wirk0,52.500000,13.416669,116285184,1,0,http://www.deutsche-biographie.de/pnd116285184.html
"Alexander, Gerhard",1903 - 1988,Hamburg,wirk1,53.583329,10.000000,116285184,1,0,http://www.deutsche-biographie.de/pnd116285184.html
"Almus, Georg",1941 - ,Lünen,wirk0,51.616340,7.528719,128868503,1,0,http://www.deutsche-biographie.de/pnd128868503.html
"Almonde, Abraham van",1533 - 1594,Delft,wirk0,52.006669,4.355559,1034056379,1,0,http://www.deutsche-biographie.de/pnd1034056379.html
"Almonde, Abraham van",1533 - 1594,Delft,wirk1,52.006669,4.355559,1034056379,1,0,http://www.deutsche-biographie.de/pnd1034056379.html
"Allekotte, Detlef",1944 - ,,,,,171958705,0,0,http://www.deutsche-biographie.de/pnd171958705.html
Alexander <Sermoneta>,1424 - 1487,,,,,104043741,0,0,http://www.deutsche-biographie.de/pnd104043741.html
"Aloysio Juvara, Tommaso",1809 - 1875,,,,,138274614,0,0,http://www.deutsche-biographie.de/pnd138274614.html
"Allegrini, Francesco",1624 - 1679,,,,,122410971,0,0,http://www.deutsche-biographie.de/pnd122410971.html
"Alfons <III., Portugal, König>",1210 - 1279,Coimbra,wirk0,40.205640,-8.419549,14137005X,1,0,http://www.deutsche-biographie.de/pnd14137005X.html
"Alfons <III., Portugal, König>",1210 - 1279,Lissabon,wirk1,38.716670,-9.133330,14137005X,1,0,http://www.deutsche-biographie.de/pnd14137005X.html
"Allemann, Freddy",1957 - ,,,,,121538311,0,0,http://www.deutsche-biographie.de/pnd121538311.html
"Althaus, Emil",1839-1851,,,,,116294159,0,0,http://www.deutsche-biographie.de/pnd116294159.html
Alexarchus <Historicus>,[1./2. Jh.],,,,,102378835,0,0,http://www.deutsche-biographie.de/pnd102378835.html
"Allan, William",1782 - 1850,Edinburgh,wirk0,55.952060,-3.196480,123330882,1,0,http://www.deutsche-biographie.de/pnd123330882.html
"Allan, William",1782 - 1850,Edinburgh,wirk1,55.952060,-3.196480,123330882,1,0,http://www.deutsche-biographie.de/pnd123330882.html
"Allnoch, Anton Leopold Nikolaus",1806 - 1888,,,,,133291472,0,0,http://www.deutsche-biographie.de/pnd133291472.html
"Alfenus Varus, Publius",[v1. Jh.],,,,,102044252,0,0,http://www.deutsche-biographie.de/pnd102044252.html
Alexander <Numenii>,[2. Jh.],,,,,100728839,0,0,http://www.deutsche-biographie.de/pnd100728839.html
Alexander <Hispanus>,[14. Jh.],,,,,118817116,0,0,http://www.deutsche-biographie.de/pnd118817116.html
"Altenstadt, Ulrich S. von",1928 - ,,,,,128888067,0,0,http://www.deutsche-biographie.de/pnd128888067.html
"Alexander-Katz, Erwin",1883 - ,Breslau,wirk0,51.100000,17.033329,116285508,1,0,http://www.deutsche-biographie.de/pnd116285508.html
"Alexander-Katz, Erwin",1883 - ,Berlin,wirk1,52.500000,13.416669,116285508,1,0,http://www.deutsche-biographie.de/pnd116285508.html
"Alfons <I., Aragonien, König>",1084 - 1134,,,,,119198673,0,0,http://www.deutsche-biographie.de/pnd119198673.html
Alfonso <de Valladolid>,1270 - 1340,,,,,118822004,0,0,http://www.deutsche-biographie.de/pnd118822004.html
"Allner, Jörg",1962 - ,,,,,1043460217,0,0,http://www.deutsche-biographie.de/pnd1043460217.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd130811947.html
"Altenbach, Johannes",1591,,,,,119605058,0,0,http://www.deutsche-biographie.de/pnd119605058.html
"Allen, Henry T.",1859 - 1930,,,,,117254274,0,0,http://www.deutsche-biographie.de/pnd117254274.html
"Alma-Tadema, Laura Theresa",1852 - 1909,,,,,117761079,0,0,http://www.deutsche-biographie.de/pnd117761079.html
Alexander <Neckam>,1157 - 1217,,,,,11864128X,0,0,http://www.deutsche-biographie.de/pnd11864128X.html
"Allén, Sture",1928 - ,,,,,11889403X,0,0,http://www.deutsche-biographie.de/pnd11889403X.html
"Alonso, Alicia",1920 - ,Havanna,wirk0,23.133019,-82.383039,118502131,1,0,http://www.deutsche-biographie.de/pnd118502131.html
"Allen, Donald",1912 - 2004,Iowa,wirk0,42.700000,-93.500489,136248462,1,0,http://www.deutsche-biographie.de/pnd136248462.html
Alpheus <Mytilenensis>,[1. Jh.],,,,,102378894,0,0,http://www.deutsche-biographie.de/pnd102378894.html
"Ali <Beyler-beg, Buda>",-,,,,,1017240353,0,0,http://www.deutsche-biographie.de/pnd1017240353.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd102715505.html
"Allmacher, Johann Friedrich",1648 - 1687,Meisenheim,wirk0,49.707200,7.667650,1012656276,1,0,http://www.deutsche-biographie.de/pnd1012656276.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd118644599.html
"Altendorf, Werner",1906 - ,Neuruppin,wirk0,52.928150,12.803110,103836632,1,0,http://www.deutsche-biographie.de/pnd103836632.html
