name,date,cities,funct,lat,longi,idn,iplace,ibio,url
"Langer, Christine",1966 - ,Ulm,wirk0,48.398409,9.991550,122818687,1,0,http://www.deutsche-biographie.de/pnd122818687.html
"Langer, Heinz",1935 - ,Schwarzheide,wirk0,51.476709,13.855600,133273601,1,0,http://www.deutsche-biographie.de/pnd133273601.html
"Langbein, Willi",1895 - 1967,,,,,118726358,0,0,http://www.deutsche-biographie.de/pnd118726358.html
"Lantz, Adolf",1882 - 1949,Wien,wirk0,48.208199,16.371690,116731281,1,0,http://www.deutsche-biographie.de/pnd116731281.html
"Lantz, Adolf",1882 - 1949,London,wirk1,51.508530,-0.125740,116731281,1,0,http://www.deutsche-biographie.de/pnd116731281.html
"Lans, Wilhelm von",1861 - ,,,,,116730765,0,0,http://www.deutsche-biographie.de/pnd116730765.html
"Langer, Siegfried",1966 - ,Memmingen,wirk0,47.983719,10.185269,1011653532,1,0,http://www.deutsche-biographie.de/pnd1011653532.html
"Langer, Siegfried",1966 - ,Berlin,wirk1,52.500000,13.416669,1011653532,1,0,http://www.deutsche-biographie.de/pnd1011653532.html
"Lange, Evamaria",1917 - ,,,,,1048213692,0,0,http://www.deutsche-biographie.de/pnd1048213692.html
"Laporterie, Joseph Michael",1761 - 1798,,,,,189484365,0,0,http://www.deutsche-biographie.de/pnd189484365.html
"Langer, Alexander",1980 - 2009,,,,,1043187189,0,0,http://www.deutsche-biographie.de/pnd1043187189.html
"Lang, Alexander",1941 - ,Erfurt,wirk0,50.978611,11.327770,118569228,1,0,http://www.deutsche-biographie.de/pnd118569228.html
"Lascharius, Andreas",1362 - 1426,,,,,104363975,0,0,http://www.deutsche-biographie.de/pnd104363975.html
"Laschet Toussaint, Herbert",1957 - ,Eupen,wirk0,50.627899,6.036469,124950086,1,0,http://www.deutsche-biographie.de/pnd124950086.html
"Lange, I. M.",1891 - 1972,Berlin,wirk0,52.500000,13.416669,106272438,1,0,http://www.deutsche-biographie.de/pnd106272438.html
"Lange, I. M.",1891 - 1972,Berlin,wirk1,52.500000,13.416669,106272438,1,0,http://www.deutsche-biographie.de/pnd106272438.html
"Lange, I. M.",1891 - 1972,Berlin,wirk2,52.500000,13.416669,106272438,1,0,http://www.deutsche-biographie.de/pnd106272438.html
