name,date,cities,funct,lat,longi,idn,iplace,ibio,url
"Gülich, Tobias",1981 - ,Bonn,wirk0,50.734166,7.952770,1016808976,1,0,http://www.deutsche-biographie.de/pnd1016808976.html
"Gülich, Tobias",1981 - ,Düsseldorf,wirk1,51.221719,6.776160,1016808976,1,0,http://www.deutsche-biographie.de/pnd1016808976.html
"Götsch, Joseph",1728-17931793,Bad Aibling,wirk0,47.863799,12.010550,118695975,1,0,http://www.deutsche-biographie.de/pnd118695975.html
"Haage, Ulrike",1957 - ,Berlin,wirk0,52.500000,13.416669,123539501,1,0,http://www.deutsche-biographie.de/pnd123539501.html
"Güttler, Ludwig",1943 - ,Sosa,wirk0,50.500000,12.666669,124623182,1,0,http://www.deutsche-biographie.de/pnd124623182.html
"Göbel, Emanuel Traugott",1751 - ,Dresden,wirk0,51.050890,13.738319,1025719913,1,0,http://www.deutsche-biographie.de/pnd1025719913.html
"Göbel, Emanuel Traugott",1751 - ,Dresden,wirk1,51.050890,13.738319,1025719913,1,0,http://www.deutsche-biographie.de/pnd1025719913.html
"Haag, Paul",1914-1940,Berlin,wirk0,52.500000,13.416669,133012069,1,0,http://www.deutsche-biographie.de/pnd133012069.html
"Güntter, Thomas",1956 - ,,,,,114922616,0,0,http://www.deutsche-biographie.de/pnd114922616.html
"Gómez, Pedro Nel",1899 - 1984,,,,,135634547,0,0,http://www.deutsche-biographie.de/pnd135634547.html
"Günther, Georg",1891 - 1969,Ukraine,wirk0,49.000000,32.000000,1041588232,1,0,http://www.deutsche-biographie.de/pnd1041588232.html
"Günther, Georg",1891 - 1969,Berlin,wirk1,52.500000,13.416669,1041588232,1,0,http://www.deutsche-biographie.de/pnd1041588232.html
"Gündel-Knacke, Emma",1889 - 1968,Hamburg,wirk0,53.583329,10.000000,140235523,1,0,http://www.deutsche-biographie.de/pnd140235523.html
"Gündel-Knacke, Emma",1889 - 1968,Reinbek,wirk1,53.517029,10.248799,140235523,1,0,http://www.deutsche-biographie.de/pnd140235523.html
"Güllen, Kaspar",1591 - 1671,Nürnberg,wirk0,49.454166,11.775000,1019729937,1,0,http://www.deutsche-biographie.de/pnd1019729937.html
"Güllen, Kaspar",1591 - 1671,Nürnberg,wirk1,49.454166,11.775000,1019729937,1,0,http://www.deutsche-biographie.de/pnd1019729937.html
"Günther, Joachim",20. Jh.,,,,,133267830,0,0,http://www.deutsche-biographie.de/pnd133267830.html
"Gülchen, Johann Ulrich von",1664 - 1730,,,,,117576077,0,0,http://www.deutsche-biographie.de/pnd117576077.html
"Günther, Oscar Heinrich",1861 - 1945,Grimma,wirk0,51.233669,12.719590,129909653,1,0,http://www.deutsche-biographie.de/pnd129909653.html
"Göbel, Cornelius",1611 - 1654,,,,,12341265X,0,0,http://www.deutsche-biographie.de/pnd12341265X.html
"Götz, Wilhelm",1670,Nürnberg,wirk0,49.454166,11.775000,1021202754,1,0,http://www.deutsche-biographie.de/pnd1021202754.html
"Götz, Robert",1894 - ,,,,,1030358427,0,0,http://www.deutsche-biographie.de/pnd1030358427.html
"Götz, Sebastian",1575 - 1621,Heidelberg,wirk0,49.407679,8.690789,123687802,1,0,http://www.deutsche-biographie.de/pnd123687802.html
"Götz, Sebastian",1575 - 1621,Aschaffenburg,wirk1,49.977040,9.152139,123687802,1,0,http://www.deutsche-biographie.de/pnd123687802.html
"Göbels, Hubert",1905 - 1997,,,,,118695673,0,0,http://www.deutsche-biographie.de/pnd118695673.html
"Haacker, Klaus",1942 - ,Wiesbaden,wirk0,50.082580,8.249320,115842802,1,0,http://www.deutsche-biographie.de/pnd115842802.html
"Götzenius, Johannes",1573 - 1652,,,,,121593940,0,0,http://www.deutsche-biographie.de/pnd121593940.html
"Güldenstein, Albert",1822 - 1891,Stuttgart,wirk0,48.782222,9.176944,1012268314,1,0,http://www.deutsche-biographie.de/pnd1012268314.html
"Gödel, F.",1899[19. Jh.],,,,,1041604874,0,0,http://www.deutsche-biographie.de/pnd1041604874.html
