name,date,cities,funct,lat,longi,idn,iplace,ibio,url
"Krüger, Wilhelm",1898 - 1977,Grevesmühlen,wirk0,53.863360,11.191599,1033928259,1,0,http://www.deutsche-biographie.de/pnd1033928259.html
"Krüger, Wilhelm",1898 - 1977,Berlin,wirk1,52.500000,13.416669,1033928259,1,0,http://www.deutsche-biographie.de/pnd1033928259.html
"Krüger, Wilhelm",1898 - 1977,Berlin,wirk2,52.500000,13.416669,1033928259,1,0,http://www.deutsche-biographie.de/pnd1033928259.html
"Kroymann, Georg",1739 - 1820,,,,,1019740078,0,0,http://www.deutsche-biographie.de/pnd1019740078.html
"Krüger, Barbara",1944 - ,,,,,11856708X,0,0,http://www.deutsche-biographie.de/pnd11856708X.html
"Krys, Jacobus",1673 - 1724,,,,,121193063,0,0,http://www.deutsche-biographie.de/pnd121193063.html
"Krüger, Hans",1884 - 1933,,,,,130013684,0,0,http://www.deutsche-biographie.de/pnd130013684.html
"Krüger, Hans",-,,,,,129517305,0,0,http://www.deutsche-biographie.de/pnd129517305.html
"Kubis, Fritz",1905 - 1966,,,,,1043027548,0,0,http://www.deutsche-biographie.de/pnd1043027548.html
"Kuehns, Kurt Eberhard",1868 - 1895,,,,,1048539865,0,0,http://www.deutsche-biographie.de/pnd1048539865.html
"Krämer, Frauke",1969 - 1996,Haiger,wirk0,50.741619,8.207779,1043024751,1,0,http://www.deutsche-biographie.de/pnd1043024751.html
"Kucher, Simone",1973 - ,,,,,103869163X,0,0,http://www.deutsche-biographie.de/pnd103869163X.html
"Kuefstein, Jacob Ludwig von",1625-16451645,,,,,1024208230,0,0,http://www.deutsche-biographie.de/pnd1024208230.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd119363682.html
"Krumbach, Walter",1917 - 1985,Joachimsthal,wirk0,52.979449,13.744930,10450482X,1,0,http://www.deutsche-biographie.de/pnd10450482X.html
"Krumbach, Walter",1917 - 1985,"Groß Schönebeck, Schorfheide",wirk1,52.906779,13.531040,10450482X,1,0,http://www.deutsche-biographie.de/pnd10450482X.html
"Krumbach, Walter",1917 - 1985,Berlin,wirk2,52.500000,13.416669,10450482X,1,0,http://www.deutsche-biographie.de/pnd10450482X.html
"Krumbach, Walter",1917 - 1985,"Groß Schönebeck, Schorfheide",wirk3,52.906779,13.531040,10450482X,1,0,http://www.deutsche-biographie.de/pnd10450482X.html
"Krysmanski, Hans Jürgen",1935 - ,,,,,105993875,0,0,http://www.deutsche-biographie.de/pnd105993875.html
"Krüger, Lore",1914 - 2009,Magdeburg,wirk0,52.127500,11.629166,136832792,1,0,http://www.deutsche-biographie.de/pnd136832792.html
"Krüger-Nieland, Gerda",1910 - 2000,Bremen,wirk0,53.083329,8.833330,1012717259,1,0,http://www.deutsche-biographie.de/pnd1012717259.html
"Krüger-Nieland, Gerda",1910 - 2000,Karlsruhe,wirk1,49.004719,8.385830,1012717259,1,0,http://www.deutsche-biographie.de/pnd1012717259.html
