markettown,markettownid,state,stateid,latitude,longitude,cityid
Wehr,120,Baden,1,47.633301,7.9000001,
Weil,121,Baden,1,47.599998,7.6166701,
Weinheim,122,Baden,1,49.549999,8.6666698,
Wertheim,123,Baden,1,49.766701,9.5166702,
Wiesloch,124,Baden,1,49.299999,8.6999998,
Wolfach,125,Baden,1,48.299999,8.21667,
Zell a. H.,126,Baden,1,48.349998,8.0666704,
Zell i. W.,127,Baden,1,47.700001,7.8499999,
Abenberg,128,Bavaria,2,49.25,10.9667,
Abensberg,129,Bavaria,2,48.799999,11.85,
Aichach,130,Bavaria,2,48.450001,11.1333,
Allersberg,131,Bavaria,2,49.25,11.2333,
Altdorf,132,Bavaria,2,49.383301,11.35,
Altoetting,133,Bavaria,2,48.233299,12.6833,
Alzenau,134,Bavaria,2,50.0667,9.0666704,
Amberg,135,Bavaria,2,49.450001,11.85,69
Amorbach,136,Bavaria,2,49.633301,9.21667,
Ansbach,137,Bavaria,2,49.299999,10.5833,90
Arnstein,138,Bavaria,2,49.966702,9.9833298,
Arzberg,139,Bavaria,2,50.0667,12.1833,
Aschaffenburg,140,Bavaria,2,49.966702,9.1499996,127
Aub,141,Bavaria,2,49.533298,10.05,
Auerbach i.d. Opf.,142,Bavaria,2,49.6833,11.6167,
Augsburg,143,Bavaria,2,48.366699,10.9,144
Bad Abbach,144,Bavaria,2,48.9333,12.05,
Bad Aibling,145,Bavaria,2,47.866699,12.0167,
Bad Berneck im Fichtelgebirge,146,Bavaria,2,50.049999,11.6667,
Bad Kissingen,147,Bavaria,2,50.200001,10.0667,
Bad Neustadt a.d. Saale,148,Bavaria,2,50.3167,10.2167,
Bad Reichenhall,149,Bavaria,2,47.716702,12.8833,
Bad Toelz,150,Bavaria,2,47.766701,11.55,
Bad Windsheim,151,Bavaria,2,49.5,10.4167,
Bad Woerishofen,152,Bavaria,2,48,10.6,
Baernau,153,Bavaria,2,49.8167,12.4333,
Baiersdorf,154,Bavaria,2,49.650002,11.0167,
Bamberg,155,Bavaria,2,49.900002,10.9,177
Baunach,156,Bavaria,2,49.966702,10.8333,
Bayreuth,157,Bavaria,2,49.950001,11.5833,197
Beilngries,158,Bavaria,2,49.033298,11.4667,
Berching,159,Bavaria,2,49.099998,11.4333,
Betzenstein,160,Bavaria,2,49.666698,11.4167,
Bischofsheim a.d. Rhoen,161,Bavaria,2,50.400002,10.0167,
Bobingen,162,Bavaria,2,48.266701,10.8167,
Bogen,163,Bavaria,2,48.916698,12.6833,
Brueckenau,164,Bavaria,2,50.283298,9.8000002,
Buchloe,165,Bavaria,2,48.033298,10.7333,
Burgau,166,Bavaria,2,48.4333,10.4,
Burgbernheim,167,Bavaria,2,49.450001,10.3167,
Burghausen,168,Bavaria,2,48.166698,12.8333,
Burgkunstadt,169,Bavaria,2,50.116699,11.25,
Burglengenfeld,170,Bavaria,2,49.200001,12.0333,
Cham,171,Bavaria,2,49.216702,12.65,
Coburg,172,Bavaria,2,50.266701,10.9667,483
Creussen,173,Bavaria,2,49.849998,11.6167,
Dachau,174,Bavaria,2,48.266701,11.4333,
Deggendorf,175,Bavaria,2,48.833302,12.9667,
Dettelbach,176,Bavaria,2,49.799999,10.1833,
Diessen am Ammersee,177,Bavaria,2,47.950001,11.1,
Dietfurt,178,Bavaria,2,49.033298,11.5833,
Dillingen a. d. Donau,179,Bavaria,2,48.5667,10.4667,
Dingolfing,180,Bavaria,2,48.633301,12.5,
Dinkelsbuehl,181,Bavaria,2,49.0667,10.3167,557
Donauwoerth,182,Bavaria,2,48.700001,10.8,
Dorfen,183,Bavaria,2,48.266701,12.15,
Ebermannstadt,184,Bavaria,2,49.766701,11.1667,
Ebern,185,Bavaria,2,50.099998,10.8,
Ebersberg,186,Bavaria,2,48.083302,11.9667,
Ebrach,187,Bavaria,2,49.8167,10.5,
Eggenfelden,188,Bavaria,2,48.400002,12.7667,
Eibelstadt,189,Bavaria,2,49.716702,10,
Eichstaett,190,Bavaria,2,48.900002,11.1833,598
Ellingen,191,Bavaria,2,49.016701,10.9667,
Eltmann,192,Bavaria,2,49.966702,10.6667,
Erbendorf,193,Bavaria,2,49.833302,12.05,
Erding,194,Bavaria,2,48.283298,11.9,
Erlangen,195,Bavaria,2,50.583302,11,627
Eschenbach i. d. Opf.,196,Bavaria,2,49.75,11.8167,
Feuchtwangen,197,Bavaria,2,49.166698,10.3167,
Fladungen,198,Bavaria,2,50.516701,10.15,
Forchheim,199,Bavaria,2,49.716702,11.05,667
Freilassing,200,Bavaria,2,47.833302,12.9667,
Freising,201,Bavaria,2,48.400002,11.75,681
Freystadt,202,Bavaria,2,49.200001,11.3167,
Freyung,203,Bavaria,2,48.799999,13.55,
Friedberg,204,Bavaria,2,48.349998,10.9833,
Fuerstenfeldbruck,205,Bavaria,2,48.1833,11.25,
Fuerth,206,Bavaria,2,49.466702,11,688
Fuessen,207,Bavaria,2,47.5667,10.7,
Furth i. Wald,208,Bavaria,2,49.3167,12.8333,
Garmisch-Partenkirchen,209,Bavaria,2,47.5,11.0833,
Gefrees,210,Bavaria,2,50.099998,11.75,
Geiselhoering,211,Bavaria,2,48.833302,12.4,
Geisenfeld,212,Bavaria,2,48.666698,11.6,
Gemuenden a. Main,213,Bavaria,2,50.049999,9.6999998,
Gerolzhofen,214,Bavaria,2,49.900002,10.35,
Gersthofen,215,Bavaria,2,48.416698,10.8667,
Goeggingen,216,Bavaria,2,48.366699,10.9,
Goldkronach,217,Bavaria,2,50.016701,11.6667,
Graefenberg,218,Bavaria,2,49.633301,11.25,
Grafenau,219,Bavaria,2,48.849998,13.4,
Grafenwoehr,220,Bavaria,2,49.716702,11.9,
Grafing b. Muenchen,221,Bavaria,2,48.049999,11.9667,
Greding,222,Bavaria,2,49.049999,11.3667,
Griesbach i. Rottal,223,Bavaria,2,48.450001,13.2,
Guenzburg,224,Bavaria,2,48.450001,10.2667,
Gundelfingen a.d. Donau,225,Bavaria,2,48.549999,10.3667,
Gunzenhausen,226,Bavaria,2,49.116699,10.75,
Hallstadt,227,Bavaria,2,49.9333,10.8833,
Hals,228,Bavaria,2,48.5667,13.4667,
Hammelburg,229,Bavaria,2,50.116699,9.8999996,
Harburg,230,Bavaria,2,48.766701,10.6667,802
Hassfurt,231,Bavaria,2,50.016701,10.5,
Haunstetten,232,Bavaria,2,48.299999,10.9,
Heideck,233,Bavaria,2,49.116699,11.1167,
Heilsbronn,234,Bavaria,2,49.3167,10.8,
Helmbrechts,235,Bavaria,2,50.216702,11.6833,
Hemau,236,Bavaria,2,49.049999,11.7833,
Herrieden,237,Bavaria,2,49.216702,10.5167,
Hersbruck,238,Bavaria,2,49.5,11.4333,
Herzogenaurach,239,Bavaria,2,49.5667,10.8833,
Hilpoltstein,240,Bavaria,2,49.1833,11.1833,
Hirschau,241,Bavaria,2,49.533298,11.95,
Hoechstadt a.d. Aisch,242,Bavaria,2,49.700001,10.8,
Hoechstaedt a.d. Donau,243,Bavaria,2,48.599998,10.55,
Hof,244,Bavaria,2,50.3167,11.9167,831
Hofheim i. Ufr.,245,Bavaria,2,50.133301,10.1833,
Hohenberg a.d. Eger,246,Bavaria,2,50.099998,12.2167,
Hollfeld,247,Bavaria,2,49.9333,11.2833,
Ichenhausen,248,Bavaria,2,48.366699,10.3167,
Illertissen,249,Bavaria,2,48.216702,10.0833,
Immenstadt im Allgaeu,250,Bavaria,2,47.5667,10.2167,
Ingolstadt,251,Bavaria,2,48.766701,11.4333,859
Iphofen,252,Bavaria,2,49.700001,10.2667,
Karlstadt,253,Bavaria,2,49.966702,9.7666702,
Kaufbeuren,254,Bavaria,2,47.883301,10.6167,911
Kelheim,255,Bavaria,2,48.916698,11.8667,
Kemnath,256,Bavaria,2,49.866699,11.8833,
Kempten (Allgaeu),257,Bavaria,2,47.733299,10.3167,915
Kirchenlamitz,258,Bavaria,2,50.150002,11.95,
Kitzingen,259,Bavaria,2,49.733299,10.1667,
Klingenberg a. Main,260,Bavaria,2,49.783298,9.1833296,
Koenigsberg i. Bayern,261,Bavaria,2,50.083302,10.5667,
Koenigsbrunn,262,Bavaria,2,48.266701,10.8833,
Koenigshofen i. Grabfeld,263,Bavaria,2,50.299999,10.4167,
Koetzting,264,Bavaria,2,49.1833,12.85,
Kolbermoor,265,Bavaria,2,47.849998,12.0667,
Kronach,266,Bavaria,2,50.233299,11.3333,
Krumbach (Schwaben),267,Bavaria,2,48.25,10.3667,
Kulmbach,268,Bavaria,2,50.099998,11.4333,
Kupferberg,269,Bavaria,2,50.116699,11.5667,
Landau a.d. Isar,270,Bavaria,2,48.666698,12.6667,
Landsberg a. Lech,271,Bavaria,2,48.033298,10.8833,
Landshut,272,Bavaria,2,48.533298,12.15,1006
Langenzenn,273,Bavaria,2,49.5,10.8,
Lauf a.d. Pegnitz,274,Bavaria,2,49.516701,11.2833,
Laufen,275,Bavaria,2,47.9333,12.9333,
Lauingen (Donau),276,Bavaria,2,48.5667,10.4333,1013
Leipheim,277,Bavaria,2,48.416698,10.1833,
Leutershausen,278,Bavaria,2,49.283298,10.4167,
Lichtenberg,279,Bavaria,2,50.366699,11.6667,
Lichtenfels,280,Bavaria,2,50.133301,11.0333,
Lindau (Bodensee),281,Bavaria,2,47.549999,9.6833296,
Lindenberg im Allgaeu,282,Bavaria,2,47.599998,9.8999996,
Lohr a. Main,283,Bavaria,2,50,9.5833302,
Ludwigsstadt,284,Bavaria,2,50.483299,11.3833,
Mainbernheim,285,Bavaria,2,49.700001,10.2167,
Mainburg,286,Bavaria,2,48.650002,11.7833,
Markt Schwaben,287,Bavaria,2,48.200001,11.8667,
Marktbreit,288,Bavaria,2,49.650002,10.1667,
Marktheidenfeld,289,Bavaria,2,49.849998,9.6000004,
Marktleuthen,290,Bavaria,2,50.116699,12,
Marktoberdorf,291,Bavaria,2,47.766701,10.6167,
Marktredwitz,292,Bavaria,2,50,12.0667,
Marktsteft,293,Bavaria,2,49.700001,10.1167,
Maxhuette-Haidhof,294,Bavaria,2,49.200001,12.1,
Mellrichstadt,295,Bavaria,2,50.416698,10.3167,
Memmingen,296,Bavaria,2,47.983299,10.1833,1186
Merkendorf,297,Bavaria,2,49.200001,10.6833,
Miesbach,298,Bavaria,2,47.783298,11.8333,
Miltenberg,299,Bavaria,2,49.700001,9.2666702,
Mindelheim,300,Bavaria,2,48.033298,10.4667,
Mittenwald,301,Bavaria,2,47.416698,11.25,
Mitterteich,302,Bavaria,2,49.9333,12.2333,
Monheim,303,Bavaria,2,48.833302,10.8333,
Moosburg a.d. Isar,304,Bavaria,2,48.466702,11.9333,
Muehldorf am Inn,305,Bavaria,2,48.200001,12.5,
Muenchberg,306,Bavaria,2,50.200001,11.7667,
Muenchen,307,Bavaria,2,48.133301,11.5667,1282
Muennerstadt,308,Bavaria,2,50.25,10.1667,
Murnau,309,Bavaria,2,47.6833,11.2,
Nabburg,310,Bavaria,2,49.450001,12.1667,
Naila,311,Bavaria,2,50.3167,11.6833,
Neuburg a.d. Donau,312,Bavaria,2,48.733299,11.1833,1310
Neumarkt i.d. Opf.,313,Bavaria,2,49.283298,11.4667,
Neumarkt-St. Veit,314,Bavaria,2,48.366699,12.5,
Neunburg vorm Wald,315,Bavaria,2,49.333302,12.3833,
Neunkirchen a. Brand,316,Bavaria,2,49.616699,11.1333,
Neuoetting,317,Bavaria,2,48.216702,12.6833,
Neustadt a. Kulm,318,Bavaria,2,49.8167,11.8167,
Neustadt a.d. Aisch,319,Bavaria,2,49.583302,10.6167,
Neustadt a.d. Donau,320,Bavaria,2,48.799999,11.7667,
Neustadt a.d. Waldnaab,321,Bavaria,2,49.716702,12.1667,
Neustadt b. Coburg,322,Bavaria,2,50.333302,11.1167,
Neu-Ulm,323,Bavaria,2,48.383301,10,
Nittenau,324,Bavaria,2,49.200001,12.2667,
Noerdlingen,325,Bavaria,2,48.849998,10.5,1343
Nuernberg,326,Bavaria,2,49.450001,11.0833,1366
Obernburg a. Main,327,Bavaria,2,49.833302,9.1333303,
Oberstdorf,328,Bavaria,2,47.416698,10.2833,
Oberviechtach,329,Bavaria,2,49.466702,12.4167,
Ochsenfurt,330,Bavaria,2,49.650002,10.0667,
Oettingen i. Bay.,331,Bavaria,2,48.950001,10.5833,
Ornbau,332,Bavaria,2,49.1833,10.65,
Osterhofen,333,Bavaria,2,48.700001,13.0167,
Ostheim v.d. Rhoen,334,Bavaria,2,50.466702,10.2167,
Ottobeuren,335,Bavaria,2,47.9333,10.3,
Pappenheim,336,Bavaria,2,48.9333,10.9667,
Parsberg,337,Bavaria,2,49.150002,11.7167,
Passau,338,Bavaria,2,48.5667,13.4667,1447
Pegnitz,339,Bavaria,2,49.75,11.55,
Penzberg,340,Bavaria,2,47.75,11.3833,
Pfaffenhofen a.d. Ilm,341,Bavaria,2,48.533298,11.5167,
Pfarrkirchen,342,Bavaria,2,48.416698,12.9167,
Pfreimd,343,Bavaria,2,49.5,12.1833,
Plattling,344,Bavaria,2,48.766701,12.8667,
Pleystein,345,Bavaria,2,49.650002,12.4167,
Pottenstein,346,Bavaria,2,49.766701,11.4167,
Pressath,347,Bavaria,2,49.766701,11.9167,
Prichsenstadt,348,Bavaria,2,49.8167,10.3333,
Prien a. Chiemsee,349,Bavaria,2,47.866699,12.3333,
Rain,350,Bavaria,2,48.6833,10.9167,
Regen,351,Bavaria,2,48.966702,13.1333,
Regensburg,352,Bavaria,2,49.016701,12.0833,1579
Regensburg-Stadtamhof,353,Bavaria,2,49.016701,12.0833,1579
Rehau,354,Bavaria,2,50.25,12.0167,
Riedenburg,355,Bavaria,2,48.966702,11.6667,
Rieneck,356,Bavaria,2,50.099998,9.6333303,
Rodach b. Coburg,357,Bavaria,2,50.333302,10.7833,
Roding,358,Bavaria,2,49.200001,12.5167,
Roethenbach a.d. Pegnitz,359,Bavaria,2,49.483299,11.25,
Roettingen,360,Bavaria,2,49.5,9.96667,
Roetz,361,Bavaria,2,49.349998,12.5167,
Rosenheim,362,Bavaria,2,47.849998,12.1333,
Roth b. Nuernberg,363,Bavaria,2,49.25,11.0833,
Rothenburg o.d. Tauber,364,Bavaria,2,49.383301,10.1833,1626
Rothenfels,365,Bavaria,2,49.883301,9.5833302,
Rottenburg a.d. Laaber,366,Bavaria,2,48.700001,12.0333,
Schauenstein,367,Bavaria,2,50.266701,11.7667,
Scheinfeld,368,Bavaria,2,49.666698,10.4667,
Schesslitz,369,Bavaria,2,49.983299,11.0333,
Schillingsfuerst,370,Bavaria,2,49.266701,10.2667,
Schluesselfeld,371,Bavaria,2,49.766701,10.6167,
Schnaittach,372,Bavaria,2,49.5667,11.35,
Schnaittenbach,373,Bavaria,2,49.533298,12.0167,
Schoensee,374,Bavaria,2,49.516701,12.55,
Schoenwald,375,Bavaria,2,50.200001,12.0833,
Schongau,376,Bavaria,2,47.8167,10.9,
Schrobenhausen,377,Bavaria,2,48.533298,11.2667,
Schwabach,378,Bavaria,2,49.333302,11.0167,1705
Schwabmuenchen,379,Bavaria,2,48.1833,10.75,
Schwandorf i. Bay.,380,Bavaria,2,49.333302,12.1167,
Schwarzenbach am Wald,381,Bavaria,2,50.266701,11.6167,
Schwarzenbach an der Saale,382,Bavaria,2,50.483299,12.0333,
Schweinfurt,383,Bavaria,2,50.049999,10.2333,1709
Selb,384,Bavaria,2,50.166698,12.1333,
Selbitz,385,Bavaria,2,50.3167,11.75,
Sesslach,386,Bavaria,2,50.166698,10.8333,
Simbach a. Inn,387,Bavaria,2,48.266701,13.0167,
Sonthofen,388,Bavaria,2,47.516701,10.2833,
Spalt,389,Bavaria,2,49.166698,10.9333,
Stadtprozelten,390,Bavaria,2,49.783298,9.4166698,
Stadtsteinach,391,Bavaria,2,50.166698,11.5,
Staffelstein,392,Bavaria,2,50.099998,10.9667,
Starnberg,393,Bavaria,2,48,11.3333,
Straubing,394,Bavaria,2,48.883301,12.5667,1847
Sulzbach-Rosenberg,395,Bavaria,2,49.5,11.75,
Tegernsee,396,Bavaria,2,47.700001,11.7667,
Teublitz,397,Bavaria,2,49.216702,12.0833,
Teuschnitz,398,Bavaria,2,50.400002,11.3833,
Thannhausen,399,Bavaria,2,48.266701,10.4667,
Thiersheim,400,Bavaria,2,50.0667,12.1167,
Thierstein,401,Bavaria,2,50.099998,12.0833,
Tirschenreuth,402,Bavaria,2,49.883301,12.3333,
Tittmoning,403,Bavaria,2,48.0667,12.7667,
Traunreut,404,Bavaria,2,47.966702,12.5833,
Traunstein,405,Bavaria,2,47.866699,12.6333,
Treuchtlingen,406,Bavaria,2,48.950001,10.9167,
Trostberg,407,Bavaria,2,48.016701,12.55,
Uffenheim,408,Bavaria,2,49.516701,10.25,
Velburg,409,Bavaria,2,49.233299,11.6667,
Velden,410,Bavaria,2,49.616699,11.5167,
Viechtach,411,Bavaria,2,49.083302,12.8833,
Vilsbiburg,412,Bavaria,2,48.450001,12.3333,
Vilseck,413,Bavaria,2,49.599998,11.8,
Vilshofen,414,Bavaria,2,48.633301,13.1833,
Vohburg,415,Bavaria,2,48.766701,11.6167,
Vohenstrauss,416,Bavaria,2,49.616699,12.3333,
Volkach,417,Bavaria,2,49.866699,10.2167,
Waischenfeld,418,Bavaria,2,49.849998,11.3333,
Waldershof,419,Bavaria,2,49.966702,12.0667,
Waldkraiburg,420,Bavaria,2,48.216702,12.4,
