name,date,leben,lengthleben,idn,iplace,ibio,url
"Demetrios <I., Makedonien, König>",[v336] - [v283],,0,118524623,0,0,http://www.deutsche-biographie.de/pnd118524623.html
"Detela, Lev",1939 - ,,0,12085953X,0,0,http://www.deutsche-biographie.de/pnd12085953X.html
"Deneke, Walther",1877 - ,,0,1049468716,1,0,http://www.deutsche-biographie.de/pnd1049468716.html
"Desrochers, Étienne Jehandier",1668 - 1741,,0,104144769,1,0,http://www.deutsche-biographie.de/pnd104144769.html
"Dessewffy, Joźsef",1771 - 1843,,0,143950606,0,0,http://www.deutsche-biographie.de/pnd143950606.html
"Despax, Jean-Baptiste",1710 - 1773,,0,1016564473,0,0,http://www.deutsche-biographie.de/pnd1016564473.html
"Dembitzer, Salamon",1888 - 1964,,0,126187649,0,0,http://www.deutsche-biographie.de/pnd126187649.html
"Detloff, Carl",1817 - 1890,,0,139402098,1,0,http://www.deutsche-biographie.de/pnd139402098.html
"Derolez, Albert",1934 - ,,0,137480857,0,0,http://www.deutsche-biographie.de/pnd137480857.html
"Desmaisons, Emilien",1812 - 1880,,0,123098556,0,0,http://www.deutsche-biographie.de/pnd123098556.html
"Derleth, Christine",1894 - 1991,,0,129264911,0,0,http://www.deutsche-biographie.de/pnd129264911.html
"Derbolav, Josef",1912 - 1987,,0,118524763,1,0,http://www.deutsche-biographie.de/pnd118524763.html
"Derlick, Elisabeth",1900 - 1978,,0,1036693260,0,0,http://www.deutsche-biographie.de/pnd1036693260.html
"Desclot, Bernat",[13. Jh.],,0,118671588,0,0,http://www.deutsche-biographie.de/pnd118671588.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd10243218X.html
Democritus <Epigrammaticus>,[3.Jh.n.Chr.],,0,102390320,0,0,http://www.deutsche-biographie.de/pnd102390320.html
Demetrius <Ixion>,[v2. Jh.],,0,102390193,0,0,http://www.deutsche-biographie.de/pnd102390193.html
"Dering, Edward",1598 - 1644,,0,136775195,1,0,http://www.deutsche-biographie.de/pnd136775195.html
"Demelius, Lothar",1955 - ,,0,103666578X,1,0,http://www.deutsche-biographie.de/pnd103666578X.html
"Dettmann, Helmut",1908 - 1980,,0,1046358383,0,0,http://www.deutsche-biographie.de/pnd1046358383.html
"Demirel, Kemal",1926 - 2009,,0,103253084,0,0,http://www.deutsche-biographie.de/pnd103253084.html
"Denis, Maurice",1870 - 1943,,0,118671464,1,0,http://www.deutsche-biographie.de/pnd118671464.html
"Deschler, Josef",1840-1866[19. Jh.],,0,1037553187,1,0,http://www.deutsche-biographie.de/pnd1037553187.html
"Desmares, Christine Antoinette Charlotte",1682 - 1753,,0,1025900138,1,0,http://www.deutsche-biographie.de/pnd1025900138.html
"Deppisch, August",1862 - ,,0,1036693015,0,0,http://www.deutsche-biographie.de/pnd1036693015.html
"Derbolav, Claudius",1963 - 1985,,0,129915815,0,0,http://www.deutsche-biographie.de/pnd129915815.html
"Deroussas, Rose",1943 - ,,0,12893543X,1,0,http://www.deutsche-biographie.de/pnd12893543X.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd118671634.html
"Dembiński, Henryk",1791 - 1864,,0,116068736,0,0,http://www.deutsche-biographie.de/pnd116068736.html
"Desaguliers, John T.",1683 - 1744,,0,117632686,0,0,http://www.deutsche-biographie.de/pnd117632686.html
"Demuth, Jakob",1625 - ,,0,1019737662,0,0,http://www.deutsche-biographie.de/pnd1019737662.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd119441659.html
"Denis, Moritz",1977 - ,,0,135373417,0,0,http://www.deutsche-biographie.de/pnd135373417.html
"Dempsey, Jack",1895 - 1983,,0,133671801,0,0,http://www.deutsche-biographie.de/pnd133671801.html
