name,date,leben,lengthleben,idn,iplace,ibio,url
"Seidl, Christoph",um 1695 bis 1762,,0,137338147,0,0,http://www.deutsche-biographie.de/sfzS13176.html
"Seltmann, Heinrich",geboren 1926,,0,1018811699,0,0,http://www.deutsche-biographie.de/sfz121152.html
"Sellheim, Hugo",1871 bis 1936,,0,117474606,1,0,http://www.deutsche-biographie.de/sfzS13578.html
"Seligmann, Ingeborg",geboren 1918,,0,1018730575,0,0,http://www.deutsche-biographie.de/sfz121117.html
"Seidler, Gustav",1858 bis 1933,,0,104361573,0,0,http://www.deutsche-biographie.de/sfzS13218.html
"Seifert, Franz",1866 bis 1951,,0,140472991,1,0,http://www.deutsche-biographie.de/sfzS13260-5.html
"Seiferheld, Georg Heinrich",1757 bis 1818,,0,100402771,0,0,http://www.deutsche-biographie.de/sfzS13248.html
"Senders, Ernestine",1874 bis 1941,,0,117471844,0,0,http://www.deutsche-biographie.de/sfzS13715.html
"Seippel, Hermann",1884 bis 1937,,0,133756424,0,0,http://www.deutsche-biographie.de/sfzS13377.html
"Seidl, Siegfried",1911 bis 1947,,0,120713764,0,0,http://www.deutsche-biographie.de/sfzS13203.html
"Senge, Günter",1927 bis 1994,,0,119558920,0,0,http://www.deutsche-biographie.de/sfzS13768.html
"Seitz, Helma",1913 bis 1995,,0,132224097,1,0,http://www.deutsche-biographie.de/sfzS13413.html
"Seiter, Agostino",1683 bis um 1742   ,,0,1018726624,0,0,http://www.deutsche-biographie.de/sfz121023.html
"Seifert, Josef",1890 bis 1950,,0,104275057,1,0,http://www.deutsche-biographie.de/sfzS13267.html
"Seifert, Hugo",geboren 1860,,0,127934626,0,0,http://www.deutsche-biographie.de/sfzS13264.html
"Seifert, Else",1879 bis 1968,,0,126600341,1,0,http://www.deutsche-biographie.de/sfzS13258-5.html
"Seltmann, Christian",geboren 1936,,0,1018811265,0,0,http://www.deutsche-biographie.de/sfz121151.html
"Seleskowitz, Louise",1830 bis nach 1899,,0,127041370,1,0,http://www.deutsche-biographie.de/sfzS13501.html
"Selchow, Bogislaw von",1877 bis 1943,,0,117473537,0,0,http://www.deutsche-biographie.de/sfzS13480.html
"Sembdner, Gustav",1876 bis 1959,,0,1018813837,0,0,http://www.deutsche-biographie.de/sfz121181.html
"Seiffert, Max",1868 bis 1948,,0,117466506,0,0,http://www.deutsche-biographie.de/sfz123620.html
"Sellius, Burchard Adam",1707 bis 1745,,0,12416269X,0,0,http://www.deutsche-biographie.de/sfzS13585.html
"Sembach-Krone, Frieda",1915 bis 1995,,0,122077032,0,0,http://www.deutsche-biographie.de/sfzS13644.html
"Senckenberg, Balthasar",1539 bis vor 1593   ,,0,1018823069,0,0,http://www.deutsche-biographie.de/sfz121228.html
"Seidel, Hans August",geboren 1910,,0,1018622772,0,0,http://www.deutsche-biographie.de/sfz120938.html
