name,date,leben,lengthleben,idn,iplace,ibio,url
"Hogarth, William",1697 - 1764,,0,118552805,0,0,http://www.deutsche-biographie.de/pnd118552805.html
"Hoevelen, Bernhard von",1608,,0,1037421493,0,0,http://www.deutsche-biographie.de/pnd1037421493.html
"Hoffmann, Karl Theodor Ferdinand",1885 - 1971,,0,126651191,0,0,http://www.deutsche-biographie.de/pnd126651191.html
"Hofmann, Klaus",1924 - ,,0,13145711X,0,0,http://www.deutsche-biographie.de/pnd13145711X.html
"Hohenlohe-Langenburg, Max Karl zu",1901 - 1943,,0,1018351418,1,0,http://www.deutsche-biographie.de/pnd1018351418.html
"Hoffmann, Werner G.",1907 - ,,0,1049275195,0,0,http://www.deutsche-biographie.de/pnd1049275195.html
"Hoffmann, Johann",1671,,0,129873144,0,0,http://www.deutsche-biographie.de/pnd129873144.html
"Hoeth, Thomas",1962 - ,,0,138872740,1,0,http://www.deutsche-biographie.de/pnd138872740.html
"Hoffmanowa, Klementyna",1798 - 1845,,0,119550083,0,0,http://www.deutsche-biographie.de/pnd119550083.html
"Hohenstein, Adolf",1881 - 1937,,0,133486230,1,0,http://www.deutsche-biographie.de/pnd133486230.html
"Hoffmann, Benno",1919 - 2005,,0,130274437,0,0,http://www.deutsche-biographie.de/pnd130274437.html
"Hohlfeld, Oliver",1965 - ,,0,129534625,0,0,http://www.deutsche-biographie.de/pnd129534625.html
"Hohenlohe-Kirchberg, Christiane Louise zu",1754 - 1816,,0,136109705,0,0,http://www.deutsche-biographie.de/pnd136109705.html
"Hofaker, Ludwig",1780 - 1846,,0,100358128,1,0,http://www.deutsche-biographie.de/pnd100358128.html
"Hohenlohe-Waldenburg-Pfedelbach, Friedrich Kraft von",1623 - 1681,,0,124939724,0,0,http://www.deutsche-biographie.de/pnd124939724.html
"Hoff, G. O.",1631[17. Jh.],,0,1042780684,0,0,http://www.deutsche-biographie.de/pnd1042780684.html
"Hoghe, Raimund",1949 - ,,0,108439577,1,0,http://www.deutsche-biographie.de/pnd108439577.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd1023502399.html
"Hoffmann, Fernand",1929 - 2000,,0,119208768,0,0,http://www.deutsche-biographie.de/pnd119208768.html
"Hohlfeld, Bruno",1862 - 1917,,0,104335333X,0,0,http://www.deutsche-biographie.de/pnd104335333X.html
"Hogarth, Paul",1917 - 2001,,0,118706209,0,0,http://www.deutsche-biographie.de/pnd118706209.html
"Hofmann, Egon",1884 - 1972,,0,133308871,1,0,http://www.deutsche-biographie.de/pnd133308871.html
"Hofmann, Ilse",1949 - ,,0,140978291,1,0,http://www.deutsche-biographie.de/pnd140978291.html
"Hofmann, Johann Jobst",1806[18./19. Jh.],,0,1043405836,1,0,http://www.deutsche-biographie.de/pnd1043405836.html
"Hofmüller, Josef",1802,,0,1041884435,1,0,http://www.deutsche-biographie.de/pnd1041884435.html
"Hoff, Izaak van t'",1786-1800[18. Jh.],,0,1034263579,1,0,http://www.deutsche-biographie.de/pnd1034263579.html
"Hohlfeld, Alexander Rudolf",1865 - 1956,,0,116957697,0,0,http://www.deutsche-biographie.de/pnd116957697.html
"Hoffmann, Gottfried",1729-1756[18. Jh.],,0,1037580192,1,0,http://www.deutsche-biographie.de/pnd1037580192.html
"Hofferus, Adrianus",1589 - 1644,,0,119130726,0,0,http://www.deutsche-biographie.de/pnd119130726.html
"Hoffmann, Paul",1862 - ,,0,1032453907,1,0,http://www.deutsche-biographie.de/pnd1032453907.html
"Hoffmann, Max",1858 - ,,0,116941170,0,0,http://www.deutsche-biographie.de/pnd116941170.html
"Hoffmann, Marco",1973 - ,,0,1031266879,1,0,http://www.deutsche-biographie.de/pnd1031266879.html
"Hoheisel, Johann Baptist",1767 - 1841,,0,1041885075,1,0,http://www.deutsche-biographie.de/pnd1041885075.html
"Hohenlohe-Schillingsfürst, Hubert zu",-,,0,105827096,0,0,http://www.deutsche-biographie.de/pnd105827096.html
"Hoffmann, Alexander",1947 - ,,0,131337971,1,0,http://www.deutsche-biographie.de/pnd131337971.html
"Hofer, Andreas",1963 - ,,0,132207699,1,0,http://www.deutsche-biographie.de/pnd132207699.html
"Hoffmann, Paul",1534 - 1627,,0,1019741813,1,0,http://www.deutsche-biographie.de/pnd1019741813.html
"Hohenegger, Lőrincz",1782 - 1842,,0,100359426,1,0,http://www.deutsche-biographie.de/pnd100359426.html
"Hofmann, Carl Gottlob",1703 - 1774,,0,100358543,1,0,http://www.deutsche-biographie.de/pnd100358543.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd119536463.html
"Hofmann, Christian Gotthilf",1742-1798[18. Jh.],,0,1037597230,1,0,http://www.deutsche-biographie.de/pnd1037597230.html
"Hohenlohe-Langenburg, Eleonora Magdalena von",1635 - 1657,,0,122062345,0,0,http://www.deutsche-biographie.de/pnd122062345.html
"Hoffer, Eric",1902 - 1983,,0,121441245,0,0,http://www.deutsche-biographie.de/pnd121441245.html
"Hoffmann, Margarete",1915 - ,,0,1041848765,0,0,http://www.deutsche-biographie.de/pnd1041848765.html
"Hoffbauer, Jochen",1923 - 2006,,0,120515423,0,0,http://www.deutsche-biographie.de/pnd120515423.html
"Hoffmann, Stefan-Ludwig",1967 - ,,0,125842899,1,0,http://www.deutsche-biographie.de/pnd125842899.html
"Hoff, Curt",1888 - ,,0,128088915,0,0,http://www.deutsche-biographie.de/pnd128088915.html
"Hoffmann, Johann Christian",1683 - 1750,,0,1016374461,1,0,http://www.deutsche-biographie.de/pnd1016374461.html
"Hofmann, Ferdinand",1782-1815[18./19. Jh.],,0,1042741646,1,0,http://www.deutsche-biographie.de/pnd1042741646.html
"Hohenhausen, Carl von",1816 - 1834,,0,11870284X,0,0,http://www.deutsche-biographie.de/pnd11870284X.html
"Hofmann, Alfred",1914 - ,,0,1041850689,0,0,http://www.deutsche-biographie.de/pnd1041850689.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd119711877.html
"Hoffmann, Martin",1948 - ,,0,119537796,0,0,http://www.deutsche-biographie.de/pnd119537796.html
"Hohenfeld, Maria Anna",1767 - 1848,,0,116953594,0,0,http://www.deutsche-biographie.de/pnd116953594.html
"Hoffman, Paul G.",1891 - 1974,,0,118836056,0,0,http://www.deutsche-biographie.de/pnd118836056.html
"Hofmann, Jörg",1974 - ,,0,132411431,0,0,http://www.deutsche-biographie.de/pnd132411431.html
"Hohenlohe-Waldenburg, Philipp Gottfried von",1618 - 1679,,0,121466647,0,0,http://www.deutsche-biographie.de/pnd121466647.html
"Hofmann, Jochen A.",1967 - ,,0,12853267X,0,0,http://www.deutsche-biographie.de/pnd12853267X.html
"Hofmann, Josef",1916 - ,,0,122590309,0,0,http://www.deutsche-biographie.de/pnd122590309.html
"Hohenfeld, Ferdinand von",1612 - 1675,,0,1021133884,1,0,http://www.deutsche-biographie.de/pnd1021133884.html
"Hofer, Maria",1914 - 1977,,0,1041366183,1,0,http://www.deutsche-biographie.de/pnd1041366183.html
"Hoffmann, Richard",1877 - 1931,,0,13348615X,1,0,http://www.deutsche-biographie.de/pnd13348615X.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd111514320.html
"Hohenlohe-Pfedelbach, Ludwig Gottfried zu",1668 - 1728,,0,130411698,0,0,http://www.deutsche-biographie.de/pnd130411698.html
"Hoffmann, Toby",1980 - ,,0,128576197,1,0,http://www.deutsche-biographie.de/pnd128576197.html
