name,date,leben,lengthleben,idn,iplace,ibio,url
"Hopfer, Daniel Paul von",1644 bis 1698,,0,100294340,0,0,http://www.deutsche-biographie.de/sfz33746.html
"Homann, Johann Christoph",1703 bis 1730,,0,12304071X,0,0,http://www.deutsche-biographie.de/sfz33642.html
"Hopfgarten, Alexander Emil",1821 bis 1856,,0,116981644,0,0,http://www.deutsche-biographie.de/sfz071_00105_1.html
,,,0,,0,0,http://www.deutsche-biographie.de/sfz069_01069_1.html
"Hohenlohe-Waldenburg-Schillingsfürst, Marie Prinzessin zu",1855 bis 1934,,0,118810464,0,0,http://www.deutsche-biographie.de/sfz35104.html
"Holtzmann, Carl Friedrich",1740 bis 1811,,0,121154394,1,0,http://www.deutsche-biographie.de/sfz070_00235_1.html
"Holger, Philip Aloys Ritter von",geboren 1799,,0,117753289,1,0,http://www.deutsche-biographie.de/sfz070_00039_1.html
"Honigmann, Eduard",1872 bis 1917,,0,137706669,0,0,http://www.deutsche-biographie.de/sfz39391.html
"Holländer, Anna",1840 bis nach 1910   ,,0,141377399,0,0,http://www.deutsche-biographie.de/sfz33468.html
"Holzschuher, Georg von","erwähnt 1470, gestorben 1526",,0,133902161,0,0,http://www.deutsche-biographie.de/sfz34783.html
"Holzschuher, Hieronymus der Ältere von",1538 bis 1598,,0,136175937,0,0,http://www.deutsche-biographie.de/sfz34899.html
"Hoos, Ulrich",um 1472    bis nach 1522   ,,0,137631782,0,0,http://www.deutsche-biographie.de/sfz33730.html
"Homolka, Oscar",1898 bis 1978,,0,116976586,0,0,http://www.deutsche-biographie.de/sfz68505.html
"Holler, August",1835 bis 1904,,0,117528757,0,0,http://www.deutsche-biographie.de/sfz121245.html
"Holzschuher, Hans",1874 bis 1912,,0,116974281,0,0,http://www.deutsche-biographie.de/sfz070_00337_1.html
"Holck, Christen",1558 bis 1641,,0,137603215,0,0,http://www.deutsche-biographie.de/sfz33451.html
"Holweck, Martin",unbekannt,,0,136203140,0,0,http://www.deutsche-biographie.de/sfz35852.html
"Holl, Hieronymus",1614 bis 1679,,0,137603916,0,0,http://www.deutsche-biographie.de/sfz33459.html
"Hohenzollern, Eitel Friedrich IV. Graf zu",1545 bis 1605,,0,131600346,0,0,http://www.deutsche-biographie.de/sfz33377.html
"Holzhay, Alexander",1722 bis 1772,,0,13763062X,0,0,http://www.deutsche-biographie.de/sfz33618.html
"Hopkins, Gerard Walter Sturgis",1892 bis 1961,,0,,0,0,http://www.deutsche-biographie.de/sfz126827.html
"Hohenlohe-Schillingsfürst, Franz Josef Fürst zu",1894 bis 1970,,0,107381842,0,0,http://www.deutsche-biographie.de/sfz115337.html
"Holnstein, Karl Graf von",1790 bis 1877,,0,138629358,0,0,http://www.deutsche-biographie.de/sfz93174.html
"Hohenlohe-Jagstberg-Schillingsfürst, Karl-Albrecht Fürst zu",geboren 1926,,0,137341377,0,0,http://www.deutsche-biographie.de/sfz61122.html
"Holzmann, Eduard",1870 bis 1929,,0,137630689,0,0,http://www.deutsche-biographie.de/sfz33625.html
"Holzapfel, Carl",1890 bis nach 1945   ,,0,116971932,1,0,http://www.deutsche-biographie.de/sfz33599.html
"Holzschuher, Lazarus von",1487 bis 1523,,0,13390220X,0,0,http://www.deutsche-biographie.de/sfz34901.html
"Holle, Herbort von","erwähnt 1532, gestorben 1555",,0,137627920,0,0,http://www.deutsche-biographie.de/sfz33488.html
"Holzmann, Georg Carl",1827 bis 1853,,0,1012397092,1,0,http://www.deutsche-biographie.de/sfz070_00319_1.html
"Hohensinner, Ferdinand von",geboren 1761,,0,138681740,0,0,http://www.deutsche-biographie.de/sfz68500.html
"Hohenlohe-Waldenburg-Bartenstein, Joseph Prinz zu",1740 bis 1817,,0,119536463,1,0,http://www.deutsche-biographie.de/sfz34862.html
"Holzer, Ernst",1856 bis 1910,,0,116972114,1,0,http://www.deutsche-biographie.de/sfz070_00281_1.html
"Honigmann, Barbara",geboren 1949,,0,119075857,0,0,http://www.deutsche-biographie.de/sfz116022.html
"Hohenzollern, Friedrich, Fürst von",1891 bis 1965,,0,126464634,0,0,http://www.deutsche-biographie.de/sfz069_01126_1.html
"Hollmann, Fritz von",19.1.1842 bis 1913,,0,117391514,0,0,http://www.deutsche-biographie.de/sfz070_00115_1.html
"Hompesch, Ferdinand, Graf von",1824 bis 1913,,0,116977175,0,0,http://www.deutsche-biographie.de/sfz070_00397_1.html
Homburg,unbekannt,,0,139310754,0,0,http://www.deutsche-biographie.de/sfz108660.html
"Hohl, Ernst",1886 bis 1957,,0,116957506,0,0,http://www.deutsche-biographie.de/sfz069_01144_1.html
"Hopkins, Gerard Manley",1844 bis 1889,,0,118553526,0,0,http://www.deutsche-biographie.de/sfz126828.html
"Holzhausen, Hector von",1812 bis 1890,,0,136167047,0,0,http://www.deutsche-biographie.de/sfz34790.html
"Holdermann, Gerhard Anton",geboren 1772,,0,116960590,0,0,http://www.deutsche-biographie.de/sfz070_00027_1.html
"Hontheim, Johann Wolfgang von","erwähnt 1622, gestorben 1641",,0,137631340,0,0,http://www.deutsche-biographie.de/sfz33719.html
"Holenia, Romuald",1817 bis 1893,,0,136503861,0,0,http://www.deutsche-biographie.de/sfz49364.html
"Hoogstraaten, Jan van",geboren 1630,,0,138855595,0,0,http://www.deutsche-biographie.de/sfz98865.html
"Hohenwart, Georg Jacob Graf von",1724 bis 1800,,0,13759500X,0,0,http://www.deutsche-biographie.de/sfz33373.html
"Holtz, Hildegard Christine",geboren 1925,,0,108810178,0,0,http://www.deutsche-biographie.de/sfz120480.html
"Holzing-Berstett, Adolf Freiherr von",1819 bis 1905,,0,1012558525,1,0,http://www.deutsche-biographie.de/sfz070_00310_1.html
"Holtz, Ernst",1794 bis 1867,,0,1012274225,1,0,http://www.deutsche-biographie.de/sfz070_00192_1.html
"Holz, Otto",1875 bis 1949,,0,133486346,0,0,http://www.deutsche-biographie.de/sfz070_00258_1.html
"Holborn, Friedrich",1892 bis 1954,,0,137603150,0,0,http://www.deutsche-biographie.de/sfz33432.html
"Holzhausen, Justinian von",1502 bis 1553,,0,116972386,0,0,http://www.deutsche-biographie.de/sfz33615.html
"Hopfer, Theodor",erwähnt 1934,,0,,0,0,http://www.deutsche-biographie.de/sfz125754.html
