name,date,leben,lengthleben,idn,iplace,ibio,url
"Eckert, Willehad Paul",1926 bis 2005,,0,119402440,1,0,http://www.deutsche-biographie.de/sfz034_00616_1.html
"Eber, August",1865 bis 1937,,0,117496537,1,0,http://www.deutsche-biographie.de/sfz034_00079_1.html
"Eckardt, Maximilian",1817 bis 1879,,0,13692378X,0,0,http://www.deutsche-biographie.de/sfz56797.html
Eberhard,"erwähnt 1273, gestorben 1284",,0,136196993,0,0,http://www.deutsche-biographie.de/sfz35478.html
"Eder, Franz Xaver",1925 bis 2013,,0,11939376X,0,0,http://www.deutsche-biographie.de/sfz035_00045_1.html
"Eckart, Christoph Gottfried",1693 bis 1750,,0,136030076,0,0,http://www.deutsche-biographie.de/sfz42151.html
"Eckener, Alexander",1870 bis 1944,,0,118830597,0,0,http://www.deutsche-biographie.de/sfz12419.html
"Edding, Friedrich",6.1909 bis 9.2002,,0,11868776X,0,0,http://www.deutsche-biographie.de/sfz035_00003_1.html
Eberhard I.,erwähnt 1065,,0,140809058,0,0,http://www.deutsche-biographie.de/sfz3277.html
"Eberhardt, Friedrich Wilhelm Magnus",1855 bis ?,,0,117496561,1,0,http://www.deutsche-biographie.de/sfz034_00175_1.html
"Ebner, Wolfgang",1577 bis 1628,,0,135735491,0,0,http://www.deutsche-biographie.de/sfz12361.html
"Ebernand, von Erfurt",gestorben nach 1216,,0,118687522,0,0,http://www.deutsche-biographie.de/sfz034_00266_1.html
"Döring, Christian Friedrich David von",7.3.1767 bis 23.4.1831,,0,1012183238,1,0,http://www.deutsche-biographie.de/sfz031_00179_1.html
"Dütschke, Emil Ferdinand",1824 bis 1893,,0,136470297,0,0,http://www.deutsche-biographie.de/sfz45559.html
"Ebbinghaus, Kurt",unbekannt,,0,1015331386,0,0,http://www.deutsche-biographie.de/sfz117198.html
"Eberhard, Victor",1862 bis 1927,,0,116322861,0,0,http://www.deutsche-biographie.de/sfz034_00170_1.html
"Eckhardt, Karl August",1901 bis 1979,,0,118681575,1,0,http://www.deutsche-biographie.de/sfz034_00647_1.html
"Eder, Max",1925 bis 1998,,0,133574180,1,0,http://www.deutsche-biographie.de/sfz035_00064_1.html
"Eberan-Eberhorst, Robert",1902 bis 1982,,0,126014078,0,0,http://www.deutsche-biographie.de/sfz034_00085_1.html
"Ebart, Johann Wilhelm",1781 bis 1822,,0,135729904,0,0,http://www.deutsche-biographie.de/sfz12190.html
Eduard,gestorben 1066,,0,11907978X,0,0,http://www.deutsche-biographie.de/sfz35491.html
"Eckbrecht von Dürckheim-Montmartin, Friedrich Graf",1770 bis 1836,,0,116239360,0,0,http://www.deutsche-biographie.de/sfz12410.html
"Ebbinghaus, Julius",1885 bis 1981,,0,116319437,0,0,http://www.deutsche-biographie.de/sfz034_00012_1.html
"Dünz, Johannes",1645 bis 1736,,0,1017139059,0,0,http://www.deutsche-biographie.de/sfz033_00143_1.html
"Dürr, Wilhelm",1857 bis 1900,,0,136093159,0,0,http://www.deutsche-biographie.de/sfz23244.html
Eberhard II.,"erwähnt 1037, gestorben 1041 oder 1044 ",,0,135734517,0,0,http://www.deutsche-biographie.de/sfz12242.html
"Eberl, Irmfried",1910 bis 1948,,0,131395890,1,0,http://www.deutsche-biographie.de/sfz034_00198_1.html
"Eckbrecht von Dürckheim-Montmartin, Karl Friedrich Graf",geboren 1896,,0,118527843,0,0,http://www.deutsche-biographie.de/sfz45697.html
"Eberhardt, Isabelle",1877 bis 1904,,0,11887957X,0,0,http://www.deutsche-biographie.de/sfz034_00179_1.html
"Dümmler, Hans Wilhelm",1901 bis 1988,,0,125359144,0,0,http://www.deutsche-biographie.de/sfz033_00122_1.html
"Ecklon, Christian Friedrich",1795 bis 1868,,0,116347821,0,0,http://www.deutsche-biographie.de/sfz122883.html
"Düring-Pascha, Ernst von",1858 bis 1944,,0,116239506,0,0,http://www.deutsche-biographie.de/sfz15068.html
"Ebeling, Hans",geboren 1906,,0,116321032,1,0,http://www.deutsche-biographie.de/sfz034_00061_1.html
Eduard II.,gestorben 1693,,0,136197396,0,0,http://www.deutsche-biographie.de/sfz35492.html
"Ebner von Eschenbach, Wenzel Ritter von",1743 bis 1820,,0,135735556,0,0,http://www.deutsche-biographie.de/sfz12366.html
"Ecker von Kapfing und Liechteneck, Oswald Ulrich",gestorben 1712,,0,136197353,0,0,http://www.deutsche-biographie.de/sfz35490.html
"Echter von Mespelbrunn, Philipp",gestorben 1549,,0,136197264,0,0,http://www.deutsche-biographie.de/sfz35486.html
"Ebell, Georg Daniel",1601 bis 1652,,0,120709929,0,0,http://www.deutsche-biographie.de/sfz15059.html
"Eckenstein, Oscar",1859 bis 1921,,0,139149104,0,0,http://www.deutsche-biographie.de/sfz107446.html
"Ebert, Carl",1887 bis 1980,,0,118687565,0,0,http://www.deutsche-biographie.de/sfz69684.html
"Eder, Liselotte",1922 bis 1993,,0,120270188,1,0,http://www.deutsche-biographie.de/sfz035_00061_1.html
"Dürr, Alfred",1879 bis 1953,,0,143924443,1,0,http://www.deutsche-biographie.de/sfz033_00199_1.html
"Eckardt, Johannes",1887 bis 1966,,0,116336048,0,0,http://www.deutsche-biographie.de/sfz034_00513_1.html
"Dörnberg, Johann Kaspar Freiherr von",1689 bis 1734,,0,13569681X,0,0,http://www.deutsche-biographie.de/sfz11538.html
"Eckert, Friedrich Wilhelm",1829 bis 1897,,0,1012557529,0,0,http://www.deutsche-biographie.de/sfz034_00596_1.html
"Ebner, Theodor Georg Friedrich",1856 bis 1915,,0,116333987,0,0,http://www.deutsche-biographie.de/sfz034_00399_1.html
"Eberhardt, Johann Jakob",1852 bis 1926,,0,116323140,1,0,http://www.deutsche-biographie.de/sfz034_00181_1.html
Eduardo Farnese,1612 bis 1646,,0,124388140,0,0,http://www.deutsche-biographie.de/sfz56808.html
"Ebel, Arnold",1883 bis 1963,,0,116319518,0,0,http://www.deutsche-biographie.de/sfz034_00022_1.html
"Döring, Hans Georg von",gestorben 1921,,0,126311870,0,0,http://www.deutsche-biographie.de/sfz031_00191_1.html
"Edelmann, Otto",1917 bis 2003,,0,118819305,0,0,http://www.deutsche-biographie.de/sfz130016.html
"Ebenspanger, Johannes",1845 bis 1903,,0,143981196,0,0,http://www.deutsche-biographie.de/sfz034_00078_1.html
"Dürrmeier, Hans",1899 bis 1977,,0,102834077X,1,0,http://www.deutsche-biographie.de/sfz033_00250_1.html
"Dürken, Bernhard",1881 bis 1944,,0,116240105,0,0,http://www.deutsche-biographie.de/sfz033_00178_1.html
"Edye, Henry Walrond",1804 bis 1887,,0,1015333168,0,0,http://www.deutsche-biographie.de/sfz122460.html
"Eckstein, Percy",1899 bis 1962,,0,104788461,0,0,http://www.deutsche-biographie.de/sfz034_00701_1.html
"Eberle, Josef",1845 bis 1921,,0,143658441,0,0,http://www.deutsche-biographie.de/sfz034_00212_1.html
"Dülfer, Kurt",gestorben 9.1973,,0,105366641,1,0,http://www.deutsche-biographie.de/sfz033_00098_1.html
"Eckelmann, Curt",1916 bis 1994,,0,119018543,0,0,http://www.deutsche-biographie.de/sfz034_00552_1.html
"Ebert, Ludwig",1834 bis 1908,,0,116332379,0,0,http://www.deutsche-biographie.de/sfz034_00337_1.html
"Ebert, Wolfgang",1923 bis 1997,,0,118528637,1,0,http://www.deutsche-biographie.de/sfz034_00347_1.html
"Dürrner, Johannes",1810 bis 1859,,0,11624058X,0,0,http://www.deutsche-biographie.de/sfz033_00251_1.html
"Dürre, Konrad",1884 bis 5.1940,,0,116240512,0,0,http://www.deutsche-biographie.de/sfz033_00244_1.html
"Ebert, Friedrich",1894 bis 1979,,0,118687573,1,0,http://www.deutsche-biographie.de/sfz034_00317_1.html
"Dürst, Arthur",1926 bis 2001,,0,129357391,0,0,http://www.deutsche-biographie.de/sfz033_00258_1.html
"Dürbig, Johann Christian",1790 bis 1860,,0,138714142,0,0,http://www.deutsche-biographie.de/sfz69673.html
Eduard,1322 bis 1395,,0,139581405,0,0,http://www.deutsche-biographie.de/sfz110394.html
"Eckert, Georg Maria",1828 bis 1903,,0,132615789,1,0,http://www.deutsche-biographie.de/sfz034_00599_1.html
"Ebersberger, Johann Georg",1695 bis 1760,,0,124194230,0,0,http://www.deutsche-biographie.de/sfz31624.html
"Dörholt, Bernhard",geboren 1851,,0,116159731,0,0,http://www.deutsche-biographie.de/sfz031_00172_1.html
"Döring, Wolfgang David von",1641 bis 1714,,0,12931644X,0,0,http://www.deutsche-biographie.de/sfz31606.html
"Eberlein, Gustav",1847 bis 1936,,0,118528572,0,0,http://www.deutsche-biographie.de/sfz034_00234_1.html
"Ebler-Scherr, Maria",1876 bis 1942,,0,13956277X,0,0,http://www.deutsche-biographie.de/sfz111775.html
"Döring, Ernst",1863 bis 1943,,0,136872301,0,0,http://www.deutsche-biographie.de/sfz60908.html
Edmund,1250 bis 1300,,0,13898347X,0,0,http://www.deutsche-biographie.de/sfz103311.html
Eberwin III.,"erwähnt 1553, gestorben 1562",,0,135883628,0,0,http://www.deutsche-biographie.de/sfz7137.html
"Düsterdieck, Peter",1937 bis 2013,,0,109051777,0,0,http://www.deutsche-biographie.de/sfz033264-5.html
"Döring-von Moellendorff, Margarete",1883 bis 1963,,0,136872344,0,0,http://www.deutsche-biographie.de/sfz60909.html
