name,date,leben,lengthleben,idn,iplace,ibio,url
,,,0,,0,0,http://www.deutsche-biographie.de/pnd124734219.html
Conradus <Ruffi>,[um 1319],,0,102432716,0,0,http://www.deutsche-biographie.de/pnd102432716.html
"Colbert, Jean-Baptiste-Michel",1640 - 1710,,0,1019351578,1,0,http://www.deutsche-biographie.de/pnd1019351578.html
"Colbert, Jacques-Nicolas",1655 - 1707,,0,122771753,1,0,http://www.deutsche-biographie.de/pnd122771753.html
"Coldorf, Joachim",1749,,0,143846299,1,0,http://www.deutsche-biographie.de/pnd143846299.html
"Companys y Jover, Luis",1882 - 1940,,0,118669842,0,0,http://www.deutsche-biographie.de/pnd118669842.html
Cominus <Scotus>,[um 646],,0,102426511,0,0,http://www.deutsche-biographie.de/pnd102426511.html
"Coloredo, Lazaro",1617 - ,,0,1019724846,1,0,http://www.deutsche-biographie.de/pnd1019724846.html
"Commodi, Andrea",1560 - 1638,,0,119292599,0,0,http://www.deutsche-biographie.de/pnd119292599.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd103130683.html
"Colshorn, Hermann",1853 - 1931,,0,129868337,0,0,http://www.deutsche-biographie.de/pnd129868337.html
Conradus <Distl>,[um 1496],,0,102426643,0,0,http://www.deutsche-biographie.de/pnd102426643.html
"Conev, Kiril I.",1896 - 1961,,0,122349792,0,0,http://www.deutsche-biographie.de/pnd122349792.html
"Condé, Caroline de",1714 - 1741,,0,143420607,1,0,http://www.deutsche-biographie.de/pnd143420607.html
"Collin, Johann Bernhard",1677 - 1677-1740,,0,142934887,0,0,http://www.deutsche-biographie.de/pnd142934887.html
"Collingwood, Francis",1792,,0,141400811,0,0,http://www.deutsche-biographie.de/pnd141400811.html
"Cohn, Paul",1872 - 1944,,0,1032003243,1,0,http://www.deutsche-biographie.de/pnd1032003243.html
"Cohnstaedt, Wilhelm",1880 - 1937,,0,129893935,0,0,http://www.deutsche-biographie.de/pnd129893935.html
"Connolly, Cyril",1903 - 1974,,0,119265664,1,0,http://www.deutsche-biographie.de/pnd119265664.html
"Colin, Jacques",1485 - 1547,,0,100087329,0,0,http://www.deutsche-biographie.de/pnd100087329.html
"Colnago, Bernardo",1545 - 1611,,0,129030910,0,0,http://www.deutsche-biographie.de/pnd129030910.html
"Conring, Gisela",1929 - ,,0,123140242,0,0,http://www.deutsche-biographie.de/pnd123140242.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd118928031.html
"Comba, Emilio",1839 - 1904,,0,119032414,0,0,http://www.deutsche-biographie.de/pnd119032414.html
"Colling, Joachim",1927 - ,,0,1036604683,1,0,http://www.deutsche-biographie.de/pnd1036604683.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd100087043.html
"Colloredo-Mannsfeld, Franz de Paula Gundaker von <II.>",1802 - 1852,,0,116654899,0,0,http://www.deutsche-biographie.de/pnd116654899.html
"Cohrs, Adalbert",1897 - 1918,,0,1035171147,1,0,http://www.deutsche-biographie.de/pnd1035171147.html
Conradus <de Altzeya>,[um 1370],,0,103146474,0,0,http://www.deutsche-biographie.de/pnd103146474.html
"Colonna, Livia",1554,,0,1018625240,1,0,http://www.deutsche-biographie.de/pnd1018625240.html
"Commendone, Giovanni Francesco",1524 - 1584,,0,118676679,1,0,http://www.deutsche-biographie.de/pnd116645989.html
"Colonna, Prospero",1707 - 1765,,0,116644990,0,0,http://www.deutsche-biographie.de/pnd116644990.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd123213924.html
Columbanus <Sancti Trudonis>,[10. Jh.],,0,100939279,0,0,http://www.deutsche-biographie.de/pnd100939279.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd131458612.html
"Conrad, Johanna Albertina",1680 - 1698,,0,121838153,0,0,http://www.deutsche-biographie.de/pnd121838153.html
"Colani, Luigi",1928 - ,,0,11887151X,1,0,http://www.deutsche-biographie.de/pnd11887151X.html
"Compagni, Dino",1250 - 1324,,0,118911090,0,0,http://www.deutsche-biographie.de/pnd118911090.html
"Collins, Wilkie",1824 - 1889,,0,118638432,1,0,http://www.deutsche-biographie.de/pnd118638432.html
"Col, Gontier",[ca. 1350-1418],,0,102427259,0,0,http://www.deutsche-biographie.de/pnd102427259.html
"Cole, Nat",1919 - 1965,,0,11909908X,1,0,http://www.deutsche-biographie.de/pnd11909908X.html
