name,date,cities,funct,lat,longi,idn,iplace,ibio,url
"Longuet, Jean",1876 bis 1938,,,,,118953044,0,0,http://www.deutsche-biographie.de/sfz57465.html
"Loth, Franz",1639 bis 1710,,,,,129364584,0,0,http://www.deutsche-biographie.de/sfz54377.html
"Loofs, Hermann",erwähnt 1958,,,,,,0,0,http://www.deutsche-biographie.de/sfz125693.html
"Loosli, Carl",1877 bis 1959,,,,,119405482,0,0,http://www.deutsche-biographie.de/sfz095_00073_1.html
"Lommel, Lisbeth",1877 bis 1970,,,,,137867042,0,0,http://www.deutsche-biographie.de/sfz54143.html
"Lossen, Valentin",1803 bis 1884,,,,,120685566,0,0,http://www.deutsche-biographie.de/sfz54350.html
"Loos, Hermann",1921 bis 1950,,,,,131542060,0,0,http://www.deutsche-biographie.de/sfz54180.html
"Lorenz, Hermann",unbekannt,,,,,139706909,0,0,http://www.deutsche-biographie.de/sfz114370.html
"Lohmann, Friedrich",1869 bis 1956,,,,,104102357,0,0,http://www.deutsche-biographie.de/sfz54067.html
"Loos, Curt",1859 bis 1933,,,,,124694977,0,0,http://www.deutsche-biographie.de/sfz095058-5.html
"Lohmann, Alfred",1870 bis 1919,,,,,140016260,0,0,http://www.deutsche-biographie.de/sfz54061.html
"Lommel, Andreas",1912 bis 2005,,,,,121181332,0,0,http://www.deutsche-biographie.de/sfz54137.html
"Looz-Corswarem, Walter Graf von",1874 bis 1946,,,,,137869169,0,0,http://www.deutsche-biographie.de/sfz54205.html
"Lorenz, Carl","erwähnt 1880, gestorben 1889",,,,,137872208,0,0,http://www.deutsche-biographie.de/sfz54254.html
"Lohmann, Wilhelm",1834 bis 1898,,,,,140023194,0,0,http://www.deutsche-biographie.de/sfz54077.html
"Lorentz, Rudolf",1804 bis 1884,,,,,117214949,0,0,http://www.deutsche-biographie.de/sfz095_00106_1.html
"Lossius, Justus",erwähnt 1549 oder 1563 ,,,,,141734396,0,0,http://www.deutsche-biographie.de/sfz54357.html
"Lohner, Jakob",1821 bis 1892,,,,,13786695X,0,0,http://www.deutsche-biographie.de/sfz54101.html
"Luckhardt, Johannes",1841 bis 1909,,,,,13787619X,0,0,http://www.deutsche-biographie.de/sfz54596.html
"Lotzbeck, Karl Freiherr von",1786 bis 1873,,,,,120693321,0,0,http://www.deutsche-biographie.de/sfz54468.html
"Lorenz, Carl Adolf",1837 bis 1923,,,,,12760863X,0,0,http://www.deutsche-biographie.de/sfz095_00133_1.html
"Loewenfeld, Alfred von",1848 bis 1935,,,,,117168726,0,0,http://www.deutsche-biographie.de/sfz094_00638_1.html
"Lorck, Balthasar",gestorben 1589,,,,,137869533,0,0,http://www.deutsche-biographie.de/sfz54220.html
"Lohmann, Johann Georg",1793 bis 1830,,,,,137866585,0,0,http://www.deutsche-biographie.de/sfz54072.html
"Lonicerus, Philipp",1543 bis 1599,,,,,137867085,0,0,http://www.deutsche-biographie.de/sfz54160.html
"Loewe, Georg",geboren 1871,,,,,13785420X,0,0,http://www.deutsche-biographie.de/sfz53886.html
"Loewenson, Erwin",1888 bis 1963,,,,,116970979,0,0,http://www.deutsche-biographie.de/sfz53939.html
"Lowie, Robert H.",1883 bis 1957,Wien,wirk0,48.208199,16.371690,118780638,1,0,http://www.deutsche-biographie.de/sfz095_00348_1.html
"Lohbauer, Karl von",1777 bis 1809,,,,,104266856,0,0,http://www.deutsche-biographie.de/sfz54051.html
"Lotze, Henning","erwähnt 1492, gestorben nach 1539   ",,,,,102555613,0,0,http://www.deutsche-biographie.de/sfz54472.html
"Loidl, Christian",1957 bis 2001,Linz,wirk0,48.306390,14.286110,11584838X,1,0,http://www.deutsche-biographie.de/sfz094813-5.html
"Loidl, Christian",1957 bis 2001,Wien,wirk1,48.208199,16.371690,11584838X,1,0,http://www.deutsche-biographie.de/sfz094813-5.html
"Lotzbeck, Karl von",1832 bis 1907,München,wirk0,48.137222,11.575277,117229784,1,0,http://www.deutsche-biographie.de/sfz095_00321_1.html
"Lotzbeck, Karl von",1832 bis 1907,München,wirk1,48.137222,11.575277,117229784,1,0,http://www.deutsche-biographie.de/sfz095_00321_1.html
"Louis, Daniel",1798 bis 1848,,,,,117231282,0,0,http://www.deutsche-biographie.de/sfz54487.html
"Lucas, Robert",geboren 1904,,,,,123492122,0,0,http://www.deutsche-biographie.de/sfz095_00418_1.html
"Lohmeier, Philipp",1648 bis 1680,,,,,12213589X,0,0,http://www.deutsche-biographie.de/sfz094_00776_1.html
Louis Bonaparte,1778 bis 1846,,,,,118896156,0,0,http://www.deutsche-biographie.de/sfz52114.html
"Louis, Rudolf",1833 bis 1877,,,,,137874944,0,0,http://www.deutsche-biographie.de/sfz54489.html
Louise,1627 bis 1689,,,,,137980493,0,0,http://www.deutsche-biographie.de/sfz54493.html
"Lortz, Joseph",1844 bis 1892,,,,,13787250X,0,0,http://www.deutsche-biographie.de/sfz54294.html
"Loesevitz, Wilhelm",1828 bis 1861,,,,,101382282X,0,0,http://www.deutsche-biographie.de/sfz120925.html
"Loescher, Johann Erich","erwähnt 1589, gestorben 1604",,,,,121458199,0,0,http://www.deutsche-biographie.de/sfz53811.html
"Lossow, Friedrich",1837 bis 1872,,,,,102345503,0,0,http://www.deutsche-biographie.de/sfz54364.html
"Lohl, Heidi",geboren 1937,,,,,13900856X,0,0,http://www.deutsche-biographie.de/sfz103640.html
"Lorck, Lorenz",1781 bis 1820,,,,,137869592,0,0,http://www.deutsche-biographie.de/sfz54225.html
"Lucius, August",1816 bis 1900,,,,,133942392,0,0,http://www.deutsche-biographie.de/sfz54569.html
"Logau, Johann von",1390 bis 1444,,,,,137953607,0,0,http://www.deutsche-biographie.de/sfz54038.html
"Lortzing, Gottlieb",1775 bis 1841,,,,,117219495,0,0,http://www.deutsche-biographie.de/sfz54298.html
"Loeschcke, Siegfried",1883 bis 1956,,,,,117156000,0,0,http://www.deutsche-biographie.de/sfz53806.html
"Lossow, Louis von",1837 bis 1923,,,,,137869207,0,0,http://www.deutsche-biographie.de/sfz54368.html
"Lorenzoni, Peter Anton",1721 bis 1782,,,,,137872380,0,0,http://www.deutsche-biographie.de/sfz54266.html
"Loth, Paulus","erwähnt um 1600   , gestorben 1642",,,,,137874030,0,0,http://www.deutsche-biographie.de/sfz54385.html
"Lorenzen, Asmus Peter",1828 bis 1912,,,,,13320099X,0,0,http://www.deutsche-biographie.de/sfz095_00156_1.html
"Loges, Bernhard","geboren 1851, erwähnt 1887",,,,,137866372,0,0,http://www.deutsche-biographie.de/sfz54043.html
"Lohr, Erwin",1880 bis 1951,,,,,137442874,0,0,http://www.deutsche-biographie.de/sfz54095.html
"Lotter, Matthäus Albrecht",gestorben 1741,,,,,124479170,0,0,http://www.deutsche-biographie.de/sfz54430.html
"Lucas, Alexander",geboren 1857,,,,,117313645,0,0,http://www.deutsche-biographie.de/sfz095_00407_1.html
"Loeser, Gustav",erwähnt 1904,,,,,1016428251,0,0,http://www.deutsche-biographie.de/sfz115785.html
"Lohmeyer, Heinrich",1851 bis 1918,,,,,137866747,0,0,http://www.deutsche-biographie.de/sfz54085.html
"Looz-Corswarem, Karl Alexander Herzog von","erwähnt 1785, gestorben 1792",,,,,137980191,0,0,http://www.deutsche-biographie.de/sfz54201.html
"Lorenz-Meyer, Eduard Lorenz",1856 bis 1926,,,,,133284387,0,0,http://www.deutsche-biographie.de/sfz095_00152_1.html
"Lorenz, Max",1902 bis 1975,Düsseldorf,wirk0,51.221719,6.776160,118574345,1,0,http://www.deutsche-biographie.de/sfz095_00135_1.html
"Lossen, Anselm",1758 bis 1821,,,,,13787295X,0,0,http://www.deutsche-biographie.de/sfz54338.html
"Lottner, Karl Leopold Eduard",1826 bis 1887,Berlin,wirk0,52.500000,13.416669,139057935,1,0,http://www.deutsche-biographie.de/sfz095_00307_1.html
"Lottner, Karl Leopold Eduard",1826 bis 1887,Bad Wildungen,wirk1,51.119630,9.124750,139057935,1,0,http://www.deutsche-biographie.de/sfz095_00307_1.html
"Lottner, Karl Leopold Eduard",1826 bis 1887,Lippstadt,wirk2,51.673690,8.344820,139057935,1,0,http://www.deutsche-biographie.de/sfz095_00307_1.html
"Loewenstein, Otto",1841 bis 1896,,,,,124501281,0,0,http://www.deutsche-biographie.de/sfz53999.html
"Lohmeyer, Carl",1770 bis 1808,,,,,13786678X,0,0,http://www.deutsche-biographie.de/sfz54088.html
"Lowinsky, Eduard",geboren 1908,,,,,126666245,0,0,http://www.deutsche-biographie.de/sfz095_00354_1.html
"Loewinson-Lessing, Franz Juljewitsch",1861 bis 1940,,,,,117190039,0,0,http://www.deutsche-biographie.de/sfz094_00715_1.html
"Louis, Antoine",1723 bis 1793,,,,,117231223,0,0,http://www.deutsche-biographie.de/sfz106990.html
"Lucca, Joseph","geboren 1801, erwähnt 1841",,,,,137875908,0,0,http://www.deutsche-biographie.de/sfz54552.html
"Lorentz, Lore",1920 bis 1994,,,,,123933552,0,0,http://www.deutsche-biographie.de/sfz116857.html
Lothar,"erwähnt 1169, gestorben 1194",,,,,137954387,0,0,http://www.deutsche-biographie.de/sfz54392.html
"Loserth, Johann",1846 bis 1936,Fulnek,wirk0,49.712380,17.903189,117220914,1,0,http://www.deutsche-biographie.de/sfz095_00203_1.html
"Loserth, Johann",1846 bis 1936,Tschernowzy,wirk1,48.291388,25.940277,117220914,1,0,http://www.deutsche-biographie.de/sfz095_00203_1.html
"Loewy, Ludwig",erwähnt 1914,,,,,139584943,0,0,http://www.deutsche-biographie.de/sfz113144.html
"Lotmar, Heinrich",1814 bis 1857,,,,,137868677,0,0,http://www.deutsche-biographie.de/sfz54414.html
Lubbe Onneken,unbekannt,,,,,,0,0,http://www.deutsche-biographie.de/sfz130426.html
"Losch, Johann Friedrich",1815 bis 1895,,,,,137872577,0,0,http://www.deutsche-biographie.de/sfz54308.html
"Lombard, Adolf Ludwig",1765 bis 1822,,,,,137866976,0,0,http://www.deutsche-biographie.de/sfz54126.html
"Lorenz, Friedrich August",1829 bis 1899,,,,,13787216X,0,0,http://www.deutsche-biographie.de/sfz54248.html
"Loga, Valerian von",1861 bis 1918,,,,,117190772,0,0,http://www.deutsche-biographie.de/sfz094_00734_1.html
"Loos, Adolf",1830 bis 1879,,,,,137868901,0,0,http://www.deutsche-biographie.de/sfz54171.html
"Loewenthal, Eduard",1836 bis 1917,,,,,117187860,0,0,http://www.deutsche-biographie.de/sfz094_00692_1.html
"Lotz, Hermann",1877 bis 1936,,,,,137874561,0,0,http://www.deutsche-biographie.de/sfz54456.html
"Lotterer, Wilhelm von",1857 bis 1916,,,,,1012284719,0,0,http://www.deutsche-biographie.de/sfz095_00299_1.html
"Lotz, Stephan",1740 bis 1777,,,,,1016800029,0,0,http://www.deutsche-biographie.de/sfz121617.html
"Luc, Jean André de",1727 bis 1817,,,,,104137932,0,0,http://www.deutsche-biographie.de/sfz095389-5.html
"Logau, Matthäus von","erwähnt 1524, gestorben 1567",,,,,137866321,0,0,http://www.deutsche-biographie.de/sfz54040.html
"Looz-Corswarem, Ludwig Felix Herzog","erwähnt 1734, gestorben 1759",,,,,137980353,0,0,http://www.deutsche-biographie.de/sfz54203.html
"Lucadou, Ludwig Moritz von",1741 bis 1812,,,,,136994075,0,0,http://www.deutsche-biographie.de/sfz61284.html
"Lossen, Hermann",1864 bis 1910,,,,,140023844,0,0,http://www.deutsche-biographie.de/sfz54341.html
"Loest, Kurt",gestorben 1945,,,,,1016428553,0,0,http://www.deutsche-biographie.de/sfz123753.html
"Loose, Gerhard",geboren 1907,,,,,118574264,0,0,http://www.deutsche-biographie.de/sfz095_00070_1.html
