name,date,cities,funct,lat,longi,idn,iplace,ibio,url
"Jantz, Harold Stein",1907 - 1987,,,,,119317990,0,0,http://www.deutsche-biographie.de/pnd119317990.html
Jean <Renart>,1210,,,,,119077515,0,0,http://www.deutsche-biographie.de/pnd119077515.html
"Jaumann, Rudolf Alfred",1859 - 1923,Pilsen,wirk0,49.747469,13.377589,133617807,1,0,http://www.deutsche-biographie.de/pnd133617807.html
"Jaumann, Rudolf Alfred",1859 - 1923,München,wirk1,48.137222,11.575277,133617807,1,0,http://www.deutsche-biographie.de/pnd133617807.html
"Jaumann, Rudolf Alfred",1859 - 1923,Maxglan,wirk2,47.802549,13.018800,133617807,1,0,http://www.deutsche-biographie.de/pnd133617807.html
Jean <de Meung>,1305,,,,,118557203,0,0,http://www.deutsche-biographie.de/pnd118557203.html
"Janetzki, Ulrich",1948 - ,,,,,172166942,0,0,http://www.deutsche-biographie.de/pnd172166942.html
"Jeikner, Eduard",1943,,,,,126713065,0,0,http://www.deutsche-biographie.de/pnd126713065.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd117101281.html
Jean <le Bel>,1290 - 1370,,,,,119372231,0,0,http://www.deutsche-biographie.de/pnd119372231.html
"Jeaurat, Étienne",1699 - 1789,Versailles,wirk0,48.799999,2.133329,1019741252,1,0,http://www.deutsche-biographie.de/pnd1019741252.html
Jean <de Wavrin>,1400 - 1472,,,,,10094793X,0,0,http://www.deutsche-biographie.de/pnd10094793X.html
"Jardine, Anja",1967 - ,,,,,135563062,0,0,http://www.deutsche-biographie.de/pnd135563062.html
"Jankuhn, Walter",1888 - 1953,,,,,134416546,0,0,http://www.deutsche-biographie.de/pnd134416546.html
"Jaster, Antonia",1971 - ,München,wirk0,48.137222,11.575277,143737384,1,0,http://www.deutsche-biographie.de/pnd143737384.html
"Jara, Victor",1932 - 1973,Santiago de Chile,wirk0,-33.456940,-70.648269,118775987,1,0,http://www.deutsche-biographie.de/pnd118775987.html
"Janson, Horst W.",1913 - 1982,Sankt Petersburg,wirk0,59.894440,30.264170,128565209,1,0,http://www.deutsche-biographie.de/pnd128565209.html
Jean <le Teinturier>,[13. Jh.],,,,,100948006,0,0,http://www.deutsche-biographie.de/pnd100948006.html
"Jellinek, Adele",1890 - 1943,Theresienstadt,wirk0,50.511000,14.150550,1042049580,1,0,http://www.deutsche-biographie.de/pnd1042049580.html
"Jansen-Kulenkampff, Helga",1944 - ,,,,,1042046018,0,0,http://www.deutsche-biographie.de/pnd1042046018.html
"Japha, Minna",1828 - ,Hamburg,wirk0,53.583329,10.000000,1025140397,1,0,http://www.deutsche-biographie.de/pnd1025140397.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd132174987.html
"Janssen, Holger",1951 - ,Heikendorf,wirk0,54.366669,10.199999,135773458,1,0,http://www.deutsche-biographie.de/pnd135773458.html
Jean <Maillart>,1327,,,,,100948014,0,0,http://www.deutsche-biographie.de/pnd100948014.html
"Jarowoy, Robert",1952 - ,,,,,109456505,0,0,http://www.deutsche-biographie.de/pnd109456505.html
"Jarzembowski, Birgit",1957 - 1981,,,,,1032770171,0,0,http://www.deutsche-biographie.de/pnd1032770171.html
"Janouch, František",1902 - 1965,,,,,128967250,0,0,http://www.deutsche-biographie.de/pnd128967250.html
"Jamnitzer, Anna",1575,,,,,1019728574,0,0,http://www.deutsche-biographie.de/pnd1019728574.html
"Jarka, Horst",1925 - ,,,,,124194567,0,0,http://www.deutsche-biographie.de/pnd124194567.html
"Jansen, Josef",1909 - 1966,,,,,1030499691,0,0,http://www.deutsche-biographie.de/pnd1030499691.html
"Janssoons van der Aa, Peter de",1735,,,,,117611913,0,0,http://www.deutsche-biographie.de/pnd117611913.html
"Jeblinger, Raimund",1853 - 1937,,,,,133223329,0,0,http://www.deutsche-biographie.de/pnd133223329.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd1037512189.html
Jan <van Brederode>,[geb. 1415],,,,,10094762X,0,0,http://www.deutsche-biographie.de/pnd10094762X.html
"Jauch, Josef-Maria",1914 - 1974,,,,,129519219,0,0,http://www.deutsche-biographie.de/pnd129519219.html
Jean <de Saint-Quentin>,[13./14. Jh.],,,,,102507511,0,0,http://www.deutsche-biographie.de/pnd102507511.html
"Jansen, Leonhard",1906 - 1997,,,,,118042890,0,0,http://www.deutsche-biographie.de/pnd118042890.html
"Jastrzęmbski, Ryszard",1879 - 1944,Bielitz-Biala,wirk0,49.822450,19.046859,1041804113,1,0,http://www.deutsche-biographie.de/pnd1041804113.html
"Jegel, August",1880 - 1971,Nürnberg,wirk0,49.454166,11.775000,105773891,1,0,http://www.deutsche-biographie.de/pnd105773891.html
"Jansen, Alexander",1967 - ,Würzburg,wirk0,49.787779,9.936109,13760873X,1,0,http://www.deutsche-biographie.de/pnd13760873X.html
"Jansen, Alexander",1967 - ,Saarbrücken,wirk1,49.235399,6.981650,13760873X,1,0,http://www.deutsche-biographie.de/pnd13760873X.html
"Jansen, Alexander",1967 - ,Würzburg,wirk2,49.787779,9.936109,13760873X,1,0,http://www.deutsche-biographie.de/pnd13760873X.html
"Jancke, Sigrid",1939 - ,,,,,1042042578,0,0,http://www.deutsche-biographie.de/pnd1042042578.html
"Jaroschka, Markus",1942 - ,,,,,128589191,0,0,http://www.deutsche-biographie.de/pnd128589191.html
"Jaksch, Ignaz",1768-1808,,,,,1042041385,0,0,http://www.deutsche-biographie.de/pnd1042041385.html
"Jaldati, Lin",1912 - 1988,Amsterdam,wirk0,52.374029,4.889689,118816780,1,0,http://www.deutsche-biographie.de/pnd118816780.html
"Jaud, Tommy",1970 - ,Schweinfurt,wirk0,50.049370,10.221750,129255092,1,0,http://www.deutsche-biographie.de/pnd129255092.html
"Jena, Detlef",1940 - ,Wittenberge,wirk0,53.005429,11.750320,121007928,1,0,http://www.deutsche-biographie.de/pnd121007928.html
"Japicx, Gysbert",1603 - 1666,,,,,119072092,0,0,http://www.deutsche-biographie.de/pnd119072092.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd10203169X.html
"Jakovlev, Aleksandr N.",1923 - 2005,,,,,11885481X,0,0,http://www.deutsche-biographie.de/pnd11885481X.html
"Jaques, Hermann",1874 - ,,,,,117084522,0,0,http://www.deutsche-biographie.de/pnd117084522.html
"Janik, Karoline",1900 - 1979,Preßburg,wirk0,48.148159,17.106739,1042042918,1,0,http://www.deutsche-biographie.de/pnd1042042918.html
"Janik, Karoline",1900 - 1979,Freyung,wirk1,48.809519,13.547679,1042042918,1,0,http://www.deutsche-biographie.de/pnd1042042918.html
"Jansong, Joachim",1941 - ,Berlin,wirk0,52.500000,13.416669,118996045,1,0,http://www.deutsche-biographie.de/pnd118996045.html
"Jaruzelski, Wojciech",1923 - 2014,Warschau,wirk0,52.229770,21.011780,118938398,1,0,http://www.deutsche-biographie.de/pnd118938398.html
"Jeanniot, Georges",1848 - 1934,Paris,wirk0,48.853409,2.348800,137847947,1,0,http://www.deutsche-biographie.de/pnd137847947.html
Jean <de Roye>,[ca. 1425-1483],,,,,100947905,0,0,http://www.deutsche-biographie.de/pnd100947905.html
"Jasmand-Grossmann, Edith",1896 - ,Dresden,wirk0,51.050890,13.738319,1012869245,1,0,http://www.deutsche-biographie.de/pnd1012869245.html
"Janssen, Hilla",1965 - ,,,,,122469860,0,0,http://www.deutsche-biographie.de/pnd122469860.html
"Jaschke, Gerhard",1949 - ,Wien,wirk0,48.208199,16.371690,118931164,1,0,http://www.deutsche-biographie.de/pnd118931164.html
Jean <le Névelon>,[12. Jh.],,,,,100947980,0,0,http://www.deutsche-biographie.de/pnd100947980.html
"Jakobs, Leonie",1976 - ,,,,,136180582,0,0,http://www.deutsche-biographie.de/pnd136180582.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd127723447.html
"Jasky, Eduard Rudolf",1865 - 1955,,,,,1047179601,0,0,http://www.deutsche-biographie.de/pnd1047179601.html
Jean <d'Angoulême>,1404 - 1467,,,,,134221699,0,0,http://www.deutsche-biographie.de/pnd134221699.html
"Jaye, Henry",1629[17. Jh.],,,,,1043506667,0,0,http://www.deutsche-biographie.de/pnd1043506667.html
"James, Edward Frank Willis",1907 - 1984,,,,,12162918X,0,0,http://www.deutsche-biographie.de/pnd12162918X.html
"Jeissing, Ivana",1958 - ,Berlin,wirk0,52.500000,13.416669,132630699,1,0,http://www.deutsche-biographie.de/pnd132630699.html
"Jatzko, Elke",1940 - ,,,,,141332611,0,0,http://www.deutsche-biographie.de/pnd141332611.html
"Jendis, Matthias",1959 - 2009,,,,,12366506X,0,0,http://www.deutsche-biographie.de/pnd12366506X.html
"Janssen, Johann Anton Rudolph",1767 - 1849,Hamburg,wirk0,53.583329,10.000000,101831668,1,0,http://www.deutsche-biographie.de/pnd101831668.html
"Janssen, Johann Anton Rudolph",1767 - 1849,Hamburg,wirk1,53.583329,10.000000,101831668,1,0,http://www.deutsche-biographie.de/pnd101831668.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd136667236.html
"Janecke, Robert",1891 - 1945,Halberstadt,wirk0,51.895620,11.056219,1032421878,1,0,http://www.deutsche-biographie.de/pnd1032421878.html
"Janecke, Robert",1891 - 1945,Magdeburg,wirk1,52.127500,11.629166,1032421878,1,0,http://www.deutsche-biographie.de/pnd1032421878.html
"Jauer, Heinrich",1842 - ,,,,,1042643881,0,0,http://www.deutsche-biographie.de/pnd1042643881.html
