name,date,cities,funct,lat,longi,idn,iplace,ibio,url
"Born, Rudolf",1828 - 1896,,,,,133934489,0,0,http://www.deutsche-biographie.de/pnd133934489.html
"Bonsack, Christian Friedrich",1744 - 1818,,,,,121811832,0,0,http://www.deutsche-biographie.de/pnd121811832.html
"Borisenko, Vera I.",1918 - 1995,,,,,13543663X,0,0,http://www.deutsche-biographie.de/pnd13543663X.html
"Bonhoeffer, Karl",1931 - ,,,,,12215083X,0,0,http://www.deutsche-biographie.de/pnd10265767X.html
"Borgesius, Johannes",1616 - 1652,Groningen,wirk0,53.219169,6.566670,142908045,1,0,http://www.deutsche-biographie.de/pnd142908045.html
"Borchers, Cornell",1925 - 2014,,,,,141155973,0,0,http://www.deutsche-biographie.de/pnd141155973.html
"Bondzin, Friderun",1929 - 1973,,,,,127213244,0,0,http://www.deutsche-biographie.de/pnd127213244.html
"Borgmann, Robert",1980 - ,Erfurt,wirk0,50.978611,11.327770,138675155,1,0,http://www.deutsche-biographie.de/pnd138675155.html
"Booss-Bavnbek, Bernhelm",1941 - ,,,,,108280470,0,0,http://www.deutsche-biographie.de/pnd108280470.html
"Bonhöffer, Eugen",1852 - ,Stuttgart,wirk0,48.782222,9.176944,1033469270,1,0,http://www.deutsche-biographie.de/pnd1033469270.html
"Borchers, Elisabeth",1926 - 2013,,,,,119368102,0,0,http://www.deutsche-biographie.de/pnd119368102.html
"Borgerding, Hermann-J.",1963 - ,,,,,1049472225,0,0,http://www.deutsche-biographie.de/pnd1049472225.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd119626225.html
"Bopp, Oliver",1969 - ,,,,,129356220,0,0,http://www.deutsche-biographie.de/pnd129356220.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd130021113.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd124650775.html
"Bonifatius <III., Papa>",[gest. 607],,,,,100938175,0,0,http://www.deutsche-biographie.de/pnd100938175.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd13621889X.html
"Bonus, Petrus",[14. Jh.],,,,,100050840,0,0,http://www.deutsche-biographie.de/pnd100050840.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd119217384.html
"Bonnet-Bourdelot, Pierre",1638 - 1708,,,,,121070557,0,0,http://www.deutsche-biographie.de/pnd121070557.html
"Bongartz, Otto",1895 - 1970,,,,,1023580918,0,0,http://www.deutsche-biographie.de/pnd1023580918.html
"Borch, Ole",1626 - 1690,,,,,117621455,0,0,http://www.deutsche-biographie.de/pnd117621455.html
"Boothalingam, S.",1967-1974,,,,,1031683208,0,0,http://www.deutsche-biographie.de/pnd1031683208.html
"Bonn, Siegfried Christoph von",1659-1667,,,,,124658571,0,0,http://www.deutsche-biographie.de/pnd124658571.html
"Boos, Verena",1977 - ,Rottweil,wirk0,48.167830,8.627190,1014189616,1,0,http://www.deutsche-biographie.de/pnd1014189616.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd121407365.html
Bonacursus <de Montemagno>,1391 - 1429,,,,,104213817,0,0,http://www.deutsche-biographie.de/pnd104213817.html
"Bormann, Alexander von",1936 - 2009,Amsterdam,wirk0,52.374029,4.889689,116253150,1,0,http://www.deutsche-biographie.de/pnd116253150.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd133778800.html
"Bonaparte, Pierre-Napoléon",1815 - 1881,Rom,wirk0,41.894739,12.483900,116237643,1,0,http://www.deutsche-biographie.de/pnd116237643.html
"Bonaparte, Pierre-Napoléon",1815 - 1881,Versailles,wirk1,48.799999,2.133329,116237643,1,0,http://www.deutsche-biographie.de/pnd116237643.html
"Boneauschiöld, Gustaf",1683 - 1754,,,,,142653497,0,0,http://www.deutsche-biographie.de/pnd142653497.html
"Bonz, Alfred",1854 - 1924,,,,,116242469,0,0,http://www.deutsche-biographie.de/pnd116242469.html
"Booth, Wayne C.",1921 - 2005,,,,,119270722,0,0,http://www.deutsche-biographie.de/pnd119270722.html
"Bonsignori, Francesco",1460 - 1519,,,,,129128627,0,0,http://www.deutsche-biographie.de/pnd129128627.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd134022149.html
"Bonde, Gustaf",1682 - 1764,Stockholm,wirk0,59.332580,18.064900,1017268770,1,0,http://www.deutsche-biographie.de/pnd1017268770.html
"Bonde, Gustaf",1682 - 1764,Uppsala,wirk1,59.858499,17.645430,1017268770,1,0,http://www.deutsche-biographie.de/pnd1017268770.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd129873225.html
"Bonald, Louis Gabriel Ambroise de",1754 - 1840,,,,,118661299,0,0,http://www.deutsche-biographie.de/pnd118661299.html
"Bonaparte, Lucien",1775 - 1840,,,,,118513141,0,0,http://www.deutsche-biographie.de/pnd118513141.html
"Bonsack, Marion",1969 - ,,,,,1033470848,0,0,http://www.deutsche-biographie.de/pnd1033470848.html
"Bonito, Giuseppe",1707 - 1789,,,,,14348916X,0,0,http://www.deutsche-biographie.de/pnd14348916X.html
"Bondi, Clemente",1742 - 1821,,,,,100049052,0,0,http://www.deutsche-biographie.de/pnd100049052.html
"Borchardt, Robert",1912 - 1985,München,wirk0,48.137222,11.575277,1028340672,1,0,http://www.deutsche-biographie.de/pnd1028340672.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd1011714590.html
"Borchmeyer, Florian",1974 - ,Wasserburg a. Inn,wirk0,48.525000,12.223333,138196079,1,0,http://www.deutsche-biographie.de/pnd138196079.html
"Bonk, Birgit",1956 - ,Thüringen,wirk0,50.916670,11.000000,1036438708,1,0,http://www.deutsche-biographie.de/pnd1036438708.html
"Bonnard, Abel",1883 - 1968,,,,,116241748,0,0,http://www.deutsche-biographie.de/pnd116241748.html
"Bonus, Arthur",1864 - 1941,,,,,116242396,0,0,http://www.deutsche-biographie.de/pnd116242396.html
"Borchert, Alfred",1886 - 1976,Berlin,wirk0,52.500000,13.416669,141187794,1,0,http://www.deutsche-biographie.de/pnd141187794.html
"Borchardt, Hans",1865 - 1917,,,,,1037719239,0,0,http://www.deutsche-biographie.de/pnd1037719239.html
"Bongardt, Karl",1925 - 2009,,,,,116238291,0,0,http://www.deutsche-biographie.de/pnd116238291.html
"Boris, Dieter",1943 - ,,,,,124142079,0,0,http://www.deutsche-biographie.de/pnd124142079.html
"Borde-Klein, Inge",1917 - 2006,,,,,136374964,0,0,http://www.deutsche-biographie.de/pnd104909080.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd128807105.html
"Borger, Elias A.",1784 - 1820,Leiden,wirk0,52.158329,4.493059,143921304,1,0,http://www.deutsche-biographie.de/pnd143921304.html
"Bong, Richard",1853 - 1935,Berlin,wirk0,52.500000,13.416669,116238259,1,0,http://www.deutsche-biographie.de/pnd116238259.html
"Bong, Richard",1853 - 1935,Berlin,wirk1,52.500000,13.416669,116238259,1,0,http://www.deutsche-biographie.de/pnd116238259.html
"Bong, Richard",1853 - 1935,Berlin,wirk2,52.500000,13.416669,116238259,1,0,http://www.deutsche-biographie.de/pnd116238259.html
"Bong, Richard",1853 - 1935,Leipzig,wirk3,51.339444,12.371111,116238259,1,0,http://www.deutsche-biographie.de/pnd116238259.html
"Bopp, Petra",1943 - ,,,,,130160865,0,0,http://www.deutsche-biographie.de/pnd130160865.html
Bonfantinus <de Bonfantinis>,[gest. 1334],,,,,104041625,0,0,http://www.deutsche-biographie.de/pnd104041625.html
"Borm, Jan","1964 - Université de Versailles Saint-Quentin-en-Yvelines, Lehrstuhl für englische Literatur, Direktor der Anglistikabteilung",,,,,142858625,0,0,http://www.deutsche-biographie.de/pnd142858625.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd124566634.html
Bonaventura <Brixiensis>,1500,Brescia,wirk0,45.524779,10.227270,100938140,1,0,http://www.deutsche-biographie.de/pnd100938140.html
"Bonin, Werner F.",1941 - ,,,,,107959798,0,0,http://www.deutsche-biographie.de/pnd107959798.html
"Bonifatius <VIII., Papa>",1235 - 1303,,,,,118513257,0,0,http://www.deutsche-biographie.de/pnd118513257.html
"Boner, Heinrich",1610 - 1684,,,,,137405596,0,0,http://www.deutsche-biographie.de/pnd137405596.html
"Born, Wolfgang",1893 - 1949,Breslau,wirk0,51.100000,17.033329,137158696,1,0,http://www.deutsche-biographie.de/pnd137158696.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd102884641X.html
"Boos, Manfred",1939 - ,,,,,1033471054,0,0,http://www.deutsche-biographie.de/pnd1033471054.html
"Bondy, Josef Adolf",1876 - 1946,Prag,wirk0,50.088039,14.420759,116237996,1,0,http://www.deutsche-biographie.de/pnd116237996.html
"Bondy, Josef Adolf",1876 - 1946,London,wirk1,51.508530,-0.125740,116237996,1,0,http://www.deutsche-biographie.de/pnd116237996.html
"Bondy, Josef Adolf",1876 - 1946,Prag,wirk2,50.088039,14.420759,116237996,1,0,http://www.deutsche-biographie.de/pnd116237996.html
"Bondy, Josef Adolf",1876 - 1946,London,wirk3,51.508530,-0.125740,116237996,1,0,http://www.deutsche-biographie.de/pnd116237996.html
"Bondy, Josef Adolf",1876 - 1946,Berlin,wirk4,52.500000,13.416669,116237996,1,0,http://www.deutsche-biographie.de/pnd116237996.html
"Borchers, Roland",1958 - ,Leipzig,wirk0,51.339444,12.371111,119086352,1,0,http://www.deutsche-biographie.de/pnd119086352.html
"Borchers, Roland",1958 - ,Leipzig,wirk1,51.339444,12.371111,119086352,1,0,http://www.deutsche-biographie.de/pnd119086352.html
Bonushomo <Brito>,[um 1248/55],,,,,102550840,0,0,http://www.deutsche-biographie.de/pnd102550840.html
"Bonacina, Giovanni Battista <Künstler III, 1661-1705>",-,,,,,18843075X,0,0,http://www.deutsche-biographie.de/pnd18843075X.html
"Born, Johann Heinrich",1622 - 1709,,,,,120363593,0,0,http://www.deutsche-biographie.de/pnd120363593.html
"Bonati, Teodore Massimo",1724 - 1820,,,,,117618101,0,0,http://www.deutsche-biographie.de/pnd117618101.html
"Bonini, Emilia",1798 - 1863,Mailand,wirk0,45.464269,9.189510,141939486,1,0,http://www.deutsche-biographie.de/pnd141939486.html
"Bonini, Emilia",1798 - 1863,Piacenza,wirk1,45.046759,9.699370,141939486,1,0,http://www.deutsche-biographie.de/pnd141939486.html
"Bonini, Emilia",1798 - 1863,Rom,wirk2,41.894739,12.483900,141939486,1,0,http://www.deutsche-biographie.de/pnd141939486.html
"Bonini, Emilia",1798 - 1863,Florenz,wirk3,43.766669,11.250000,141939486,1,0,http://www.deutsche-biographie.de/pnd141939486.html
"Bonnet, Horst",1931 - 2006,Schwerin,wirk0,53.629370,11.413159,134713885,1,0,http://www.deutsche-biographie.de/pnd134713885.html
"Bonnet, Horst",1931 - 2006,Berlin,wirk1,52.500000,13.416669,134713885,1,0,http://www.deutsche-biographie.de/pnd134713885.html
"Borchert, Katharina Lyssa",1972 - ,Bochum,wirk0,51.481650,7.216479,1036439127,1,0,http://www.deutsche-biographie.de/pnd1036439127.html
,,,,,,,0,0,http://www.deutsche-biographie.de/pnd12874278X.html
"Borchardt-Sattler, Dodo",1894 - 1981,,,,,1037003721,0,0,http://www.deutsche-biographie.de/pnd1037003721.html
"Bonifatius <IV., Papa>",[gest. 615],,,,,100938183,0,0,http://www.deutsche-biographie.de/pnd100938183.html
"Borel, Émile",1871 - 1956,,,,,118975528,0,0,http://www.deutsche-biographie.de/pnd118975528.html
