name,date,cities,funct,lat,longi,idn,iplace,ibio,url
"Delphius, Johannes",1524 bis 1582,Delft,geburt,52.0114017,4.35839,119652765,1,1,http://www.deutsche-biographie.de/sfz9625.html
"Delphius, Johannes",1524 bis 1582,Straßburg,tod,48.584614,7.7507127,119652765,1,1,http://www.deutsche-biographie.de/sfz9625.html
"Botel, Heinrich","erwähnt 1246, gestorben 1260",an der Durbe,tod,56.5860468,21.3726593,135661838,1,1,http://www.deutsche-biographie.de/sfz5408.html
Langen,unbekannt,,,,,140727035,0,1,http://www.deutsche-biographie.de/sfz130714.html
Euler,unbekannt,Basel,wirk0,47.5429886,7.5969912,139773428,1,1,http://www.deutsche-biographie.de/sfz13855.html
Euler,unbekannt,Stockholm,wirk1,59.3307611,18.0613098,139773428,1,1,http://www.deutsche-biographie.de/sfz13855.html
"Burkhard, Franz",um 1520    bis 1584,Köln,wirk0,50.9412323,6.9569468,135706459,1,1,http://www.deutsche-biographie.de/sfz7558.html
"Burkhard, Franz",um 1520    bis 1584,Bonn,tod,50.7344839,7.0999274,135706459,1,1,http://www.deutsche-biographie.de/sfz7558.html
Lehmann-Haupt,unbekannt,Berlin,wirk0,52.5170365,13.3888599,,1,1,http://www.deutsche-biographie.de/sfz126755.html
Lehmann-Haupt,unbekannt,Hamburg,wirk1,53.5503414,10.000654,,1,1,http://www.deutsche-biographie.de/sfz126755.html
Lehmann-Haupt,unbekannt,London,wirk2,51.5072759,-0.1276597,,1,1,http://www.deutsche-biographie.de/sfz126755.html
Lehmann-Haupt,unbekannt,Paris,wirk3,48.8564528,2.3524282,,1,1,http://www.deutsche-biographie.de/sfz126755.html
"Dietrichstein, Fürsten von (seit 1631)",unbekannt,,,,,129157201,0,1,http://www.deutsche-biographie.de/sfz130867.html
"Eberstein, Grafen von",unbekannt,Speyer,wirk0,49.3165553,8.433615,139763554,1,1,http://www.deutsche-biographie.de/sfz12322.html
Arnold I.,vor 1100    bis 1151,Köln,wirk0,50.9412323,6.9569468,130059927,1,1,http://www.deutsche-biographie.de/sfz1294.html
Arnold I.,vor 1100    bis 1151,Reims,wirk1,49.2577886,4.031926,130059927,1,1,http://www.deutsche-biographie.de/sfz1294.html
Arnold I.,vor 1100    bis 1151,Rom,wirk2,41.9071505,12.4841965,130059927,1,1,http://www.deutsche-biographie.de/sfz1294.html
Konrad der Ältere von Halberstadt,erwähnt 1321 oder 1327 ,Florenz,wirk0,43.77041,11.2550368,102435464,1,1,http://www.deutsche-biographie.de/sfz44442.html
Boineburg,unbekannt,,,,,124587801,0,1,http://www.deutsche-biographie.de/sfz130895.html
"Schlagintweit, Robert von",1833 bis 1885,München,geburt,48.1372719,11.5754815,118795090,1,1,http://www.deutsche-biographie.de/sfz78415.html
Heydenreich,unbekannt,Leipzig,wirk0,51.3405087,12.3746816,118704443,1,1,http://www.deutsche-biographie.de/sfz32083.html
Heydenreich,unbekannt,Dresden,wirk1,51.0493286,13.7381437,118704443,1,1,http://www.deutsche-biographie.de/sfz32083.html
Gleditsch,unbekannt,Wien,wirk0,48.2084672,16.3730907,139787038,1,1,http://www.deutsche-biographie.de/sfz21147.html
Gleditsch,unbekannt,Braunschweig,wirk1,52.2643004,10.5251064,139787038,1,1,http://www.deutsche-biographie.de/sfz21147.html
Gleditsch,unbekannt,Hamburg,wirk2,53.5503414,10.000654,139787038,1,1,http://www.deutsche-biographie.de/sfz21147.html
Hilgard,unbekannt,,,,,118704818,0,1,http://www.deutsche-biographie.de/sfz32312.html
"Behrendt, Johann",1667 bis 1737,Insterburg,geburt,54.6404098,21.8037989,135937868,1,1,http://www.deutsche-biographie.de/sfz3569.html
"Behrendt, Johann",1667 bis 1737,Königsberg,wirk1,54.7066424,20.5105165,135937868,1,1,http://www.deutsche-biographie.de/sfz3569.html
"Behrendt, Johann",1667 bis 1737,Insterburg,tod,54.6404098,21.8037989,135937868,1,1,http://www.deutsche-biographie.de/sfz3569.html
"Hüttel, Franz",1862 bis 1919,Erlau (Sachsen),geburt,51.0085778,12.9393736,137645805,1,1,http://www.deutsche-biographie.de/sfz34251.html
"Hüttel, Franz",1862 bis 1919,Zittau,wirk1,50.8960877,14.8065269,137645805,1,1,http://www.deutsche-biographie.de/sfz34251.html
"Hüttel, Franz",1862 bis 1919,Berlin,wirk2,52.5170365,13.3888599,137645805,1,1,http://www.deutsche-biographie.de/sfz34251.html
"Hüttel, Franz",1862 bis 1919,Berlin,tod,52.5170365,13.3888599,137645805,1,1,http://www.deutsche-biographie.de/sfz34251.html
Kupffer,unbekannt,Kurland,wirk0,56.9834674,22.1540457,122709152,1,1,http://www.deutsche-biographie.de/sfz124143.html
Kupffer,unbekannt,Mitau,wirk1,56.6578041,23.71102,122709152,1,1,http://www.deutsche-biographie.de/sfz124143.html
Kupffer,unbekannt,Sankt Petersburg,wirk2,59.9393657,30.3153628,122709152,1,1,http://www.deutsche-biographie.de/sfz124143.html
Kupffer,unbekannt,Frankfurt,wirk3,50.1432793,8.6805975,122709152,1,1,http://www.deutsche-biographie.de/sfz124143.html
Kupffer,unbekannt,Riga,wirk4,56.9493977,24.1051844,122709152,1,1,http://www.deutsche-biographie.de/sfz124143.html
Kupffer,unbekannt,Dorpat,wirk5,58.3727059,26.7237528,122709152,1,1,http://www.deutsche-biographie.de/sfz124143.html
"Borchers, Eduard",1815 bis 1902,Wulften (Harz),geburt,51.6621769,10.1737651,123854504,1,1,http://www.deutsche-biographie.de/sfz5293.html
"Borchers, Eduard",1815 bis 1902,Goslar,tod,51.9059936,10.4266284,123854504,1,1,http://www.deutsche-biographie.de/sfz5293.html
"Beyersee, Nikolaus von",erwähnt 1440 oder 1454 ,,,,,135660815,0,1,http://www.deutsche-biographie.de/sfz4327.html
"Burchard, Johann",erwähnt 1503 oder 1536 ,Heidelberg,wirk0,49.4093608,8.6948125,135738342,1,1,http://www.deutsche-biographie.de/sfz7450.html
"Burchard, Johann",erwähnt 1503 oder 1536 ,Freiburg (Breisgau),wirk1,47.9949985,7.8646903,135738342,1,1,http://www.deutsche-biographie.de/sfz7450.html
"Burchard, Johann",erwähnt 1503 oder 1536 ,Straßburg,wirk2,48.584614,7.7507127,135738342,1,1,http://www.deutsche-biographie.de/sfz7450.html
"Burchard, Johann",erwähnt 1503 oder 1536 ,Mainz,wirk3,49.9999952,8.2710237,135738342,1,1,http://www.deutsche-biographie.de/sfz7450.html
"Burchard, Johann",erwähnt 1503 oder 1536 ,Worms,wirk4,49.6356,8.3597199,135738342,1,1,http://www.deutsche-biographie.de/sfz7450.html
"Burchard, Johann",erwähnt 1503 oder 1536 ,Basel,wirk5,47.5429886,7.5969912,135738342,1,1,http://www.deutsche-biographie.de/sfz7450.html
"Burchard, Johann",erwähnt 1503 oder 1536 ,Augsburg,wirk6,48.3665283,10.8837144,135738342,1,1,http://www.deutsche-biographie.de/sfz7450.html
"Hoverbeck, Freiherren von",unbekannt,Krakau,wirk0,50.0617795,19.9376173,139844589,1,1,http://www.deutsche-biographie.de/sfz33978.html
"Hoverbeck, Freiherren von",unbekannt,Königsberg,wirk1,54.7066424,20.5105165,139844589,1,1,http://www.deutsche-biographie.de/sfz33978.html
"Opel, Heinrich von",1873 bis 1928,Rüsselsheim/Main,geburt,49.994764,8.4116521,136984223,1,1,http://www.deutsche-biographie.de/sfz73560.html
"Opel, Heinrich von",1873 bis 1928,Rüsselsheim/Main,tod,49.994764,8.4116521,136984223,1,1,http://www.deutsche-biographie.de/sfz73560.html
Kommerell,unbekannt,Odessa,wirk0,46.4713468,30.7296333,,1,1,http://www.deutsche-biographie.de/sfz130755.html
Kommerell,unbekannt,Paris,wirk1,48.8564528,2.3524282,,1,1,http://www.deutsche-biographie.de/sfz130755.html
Huene,unbekannt,Kurland,wirk0,56.9834674,22.1540457,139844783,1,1,http://www.deutsche-biographie.de/sfz34220.html
"Beck, Carl Heinrich",1767 bis 1834,Nördlingen,geburt,48.8516578,10.4885873,116100389,1,0,http://www.deutsche-biographie.de/sfz2505.html
"Beck, Carl Heinrich",1767 bis 1834,Nördlingen,tod,48.8516578,10.4885873,116100389,1,0,http://www.deutsche-biographie.de/sfz2505.html
"Alt, Franz",1821 bis 1914,Wien,geburt,48.2084672,16.3730907,120739674,1,1,http://www.deutsche-biographie.de/sfz687.html
"Alt, Franz",1821 bis 1914,Wien,tod,48.2084672,16.3730907,120739674,1,1,http://www.deutsche-biographie.de/sfz687.html
"Dalwigk, von",unbekannt,Corvey,wirk0,51.77942305,9.40967860114042,136190820,1,1,http://www.deutsche-biographie.de/sfz9231.html
"Dalwigk, von",unbekannt,Utrecht,wirk1,52.0959423,5.1104136,136190820,1,1,http://www.deutsche-biographie.de/sfz9231.html
"Krockow, von",unbekannt,Danzig,wirk0,54.3482114,18.6542829,124253334,1,1,http://www.deutsche-biographie.de/sfz130741.html
"Mallinckrodt, von",unbekannt,,,,,119232960,0,1,http://www.deutsche-biographie.de/sfz126743.html
Ketzel,unbekannt,Augsburg,wirk0,48.3665283,10.8837144,118722115,1,1,http://www.deutsche-biographie.de/sfz130796.html
Ketzel,unbekannt,Nürnberg,wirk1,49.4538501,11.0773238,118722115,1,1,http://www.deutsche-biographie.de/sfz130796.html
Hodenberg,unbekannt,,,,,137755104,0,1,http://www.deutsche-biographie.de/sfz32757.html
"Riepenhausen, Franz",1786 bis 1831,Göttingen,geburt,51.5336849,9.934507,118992767,1,0,http://www.deutsche-biographie.de/sfz105872.html
"Riepenhausen, Franz",1786 bis 1831,Rom,tod,41.9071505,12.4841965,118992767,1,0,http://www.deutsche-biographie.de/sfz105872.html
"Buttlar, von",unbekannt,Fulda,wirk0,50.5521486,9.676511,129640352,1,1,http://www.deutsche-biographie.de/sfz7671.html
Kalckreuth,unbekannt,,,,,139845259,0,1,http://www.deutsche-biographie.de/sfz39564.html
"Lütgendorff, Freiherren von",unbekannt,,,,,,0,1,http://www.deutsche-biographie.de/sfz126698.html
Koerber,unbekannt,Livland,wirk0,57.2995381,25.6660605,,1,1,http://www.deutsche-biographie.de/sfz130766.html
Koerber,unbekannt,Kurland,wirk1,56.9834674,22.1540457,,1,1,http://www.deutsche-biographie.de/sfz130766.html
Koerber,unbekannt,Dorpat,wirk2,58.3727059,26.7237528,,1,1,http://www.deutsche-biographie.de/sfz130766.html
"Geymüller, Jacob Freiherr von",1760 bis 1834,Basel,geburt,47.5429886,7.5969912,136480411,1,0,http://www.deutsche-biographie.de/sfz20856.html
"Geymüller, Jacob Freiherr von",1760 bis 1834,Wien,tod,48.2084672,16.3730907,136480411,1,0,http://www.deutsche-biographie.de/sfz20856.html
"Boguslawski, von",unbekannt,,,,,139772057,0,1,http://www.deutsche-biographie.de/sfz5121.html
"Lüninck, von",unbekannt,,,,,,0,1,http://www.deutsche-biographie.de/sfz126697.html
"Heeringen, von",unbekannt,,,,,136193382,0,1,http://www.deutsche-biographie.de/sfz28605.html
Danckelman (bis 1689),unbekannt,,,,,,0,1,http://www.deutsche-biographie.de/sfz130872.html
Altfrid,gestorben 849,Münster,wirk0,51.9625101,7.6251879,119170949,1,1,http://www.deutsche-biographie.de/sfz710.html
Altfrid,gestorben 849,Werden,grab,51.3885247,7.0037197,119170949,1,1,http://www.deutsche-biographie.de/sfz710.html
Appel,unbekannt,,,,,,0,1,http://www.deutsche-biographie.de/sfz130917.html
Haßler,unbekannt,Nürnberg,wirk0,49.4538501,11.0773238,133812928,1,1,http://www.deutsche-biographie.de/sfz98757.html
Heinrich Bart,"erwähnt 1206, gestorben 1209 oder 1210 ",Akkon,grab,32.9281747,35.0756366,137318979,1,1,http://www.deutsche-biographie.de/sfz29150.html
"Düring, von",unbekannt,Hannover,wirk0,52.3744809,9.7385632,120720922,1,1,http://www.deutsche-biographie.de/sfz11994.html
"Düring, von",unbekannt,Kiel,wirk1,54.3216753,10.1371858,120720922,1,1,http://www.deutsche-biographie.de/sfz11994.html
"Düring, von",unbekannt,Dresden,wirk2,51.0493286,13.7381437,120720922,1,1,http://www.deutsche-biographie.de/sfz11994.html
Mangold,unbekannt,Philadelphia,wirk0,39.952335,-75.163789,,1,1,http://www.deutsche-biographie.de/sfz126618.html
