name,date,cities,funct,lat,longi,idn,iplace,ibio,url
Heinrich,erwähnt 1098 oder 1137 ,,,,,,0,0,http://www.deutsche-biographie.de/sfz121889.html
"Heile, Wilhelm",geboren 1881,,,,,123629853,0,0,http://www.deutsche-biographie.de/sfz064_00228_1.html
"Hein, Franz",1892 bis 1976,,,,,116658525,0,0,http://www.deutsche-biographie.de/sfz064_00364_1.html
"Heider, Arthur Ritter von",1846 bis 1924,,,,,116605138,0,0,http://www.deutsche-biographie.de/sfz28763.html
"Heiden, Bernhard",gestorben 2000,"Bloomington, Ind.",wirk0,39.165320,-86.526390,119397234,1,0,http://www.deutsche-biographie.de/sfz064_00124_1.html
"Heiliger, Bernhard",1915 bis 1995,,,,,118547860,0,0,http://www.deutsche-biographie.de/sfz70041.html
"Heermann, Paul",1868 bis 1945,,,,,137591500,0,0,http://www.deutsche-biographie.de/sfz28614.html
"Heineken, Alfred",gestorben 2002,,,,,118980122,0,0,http://www.deutsche-biographie.de/sfz064_00436_1.html
Heinrich,gestorben 1606,,,,,137976410,0,0,http://www.deutsche-biographie.de/sfz53219.html
Heinrich,gestorben 954,,,,,138770808,0,0,http://www.deutsche-biographie.de/sfz70087.html
"Heeckeren von der Eze, Friedrich von",unbekannt,,,,,139269495,0,0,http://www.deutsche-biographie.de/sfz98767.html
"Heem, Jan Davidszoon de",vermutlich nach 1600    bis 1683 oder 1684 ,,,,,119020157,0,0,http://www.deutsche-biographie.de/sfz98775.html
"Heerwagen, Heinrich",1874 bis 1942,,,,,116566019,0,0,http://www.deutsche-biographie.de/sfz063_00972_1.html
"Heim, Konrad",1815 bis 1887,,,,,135689295,0,0,http://www.deutsche-biographie.de/sfz28844.html
"Hedlinger, Viktor Laurenz",1733 bis 1793,,,,,137863446,0,0,http://www.deutsche-biographie.de/sfz28572.html
Heinrich,gestorben 1314,,,,,137324316,0,0,http://www.deutsche-biographie.de/sfz29176.html
"Heidenreich, August",1846 bis 1913,,,,,13698682X,0,0,http://www.deutsche-biographie.de/sfz61073.html
"Heeckeren von der Eze, Evert von",unbekannt,,,,,138841144,0,0,http://www.deutsche-biographie.de/sfz98766.html
"Heffter, Heinrich",1903 bis 1975,,,,,129859885,0,0,http://www.deutsche-biographie.de/sfz063992-5.html
"Heeringen, Josias von",1809 bis 1885,,,,,116565632,0,0,http://www.deutsche-biographie.de/sfz28607.html
