name,date,cities,funct,lat,longi,idn,iplace,ibio,url
"Mehlmann, Israel",geboren 1900,,,,,142646350,0,0,http://www.deutsche-biographie.de/sfz101_00726_1.html
"Meirowsky, Lisamaria",1904 bis 1942,Graudenz,wirk0,53.484110,18.753660,138078130,1,0,http://www.deutsche-biographie.de/sfz102_00264_1.html
"Meirowsky, Lisamaria",1904 bis 1942,Auschwitz,wirk1,50.034370,19.210370,138078130,1,0,http://www.deutsche-biographie.de/sfz102_00264_1.html
"Medinger, Eduard von",1847 bis 1930,,,,,142662585,0,0,http://www.deutsche-biographie.de/sfz59755.html
"Meister, Carl",1860 bis 1930,,,,,139563008,0,0,http://www.deutsche-biographie.de/sfz111795.html
"McCloy, John",1895 bis 1989,,,,,118575694,0,0,http://www.deutsche-biographie.de/sfz118105.html
"Meissel, Daniel Friedrich Ernst",1826 bis 1895,,,,,116864079,0,0,http://www.deutsche-biographie.de/sfz102_00309_1.html
Mechthild,um 1280    bis 1323,,,,,118892142,0,0,http://www.deutsche-biographie.de/sfz108686.html
"Meinardus, Wilhelm",1805 bis 1906,,,,,117749214,0,0,http://www.deutsche-biographie.de/sfz59954.html
"Mecke, Reinhard",1895 bis 1969,,,,,116988533,0,0,http://www.deutsche-biographie.de/sfz101_00524_1.html
Meister der Georgslegende,unbekannt,,,,,118580353,0,0,http://www.deutsche-biographie.de/sfz60128.html
"Meckau, Helfried von",gestorben 1539,,,,,136994423,0,0,http://www.deutsche-biographie.de/sfz61332.html
"Meinhold, Peter",1907 bis 1981,,,,,118580191,0,0,http://www.deutsche-biographie.de/sfz102_00216_1.html
"Meier, Hermann",1845 bis 1905,,,,,136778399,0,0,http://www.deutsche-biographie.de/sfz59903.html
"Meier, Hermann Henrich",1779 bis 1821,,,,,136778062,0,0,http://www.deutsche-biographie.de/sfz59899.html
"Meisner, Joachim",geboren 1933,,,,,118851985,0,0,http://www.deutsche-biographie.de/sfz108319.html
"Meddlhammer, Albin Johann Baptist von",1777 bis 1838,,,,,116989114,0,0,http://www.deutsche-biographie.de/sfz101_00565_1.html
"Meinhold, Helmut",1914 bis 1994,,,,,118580183,0,0,http://www.deutsche-biographie.de/sfz102_00207_1.html
"Meinecke, Wolfgang","geboren 1932, erwähnt 1970",,,,,136780857,0,0,http://www.deutsche-biographie.de/sfz59972.html
"Meidinger, Johann Heinrich",1792 bis 1867,,,,,117560138,0,0,http://www.deutsche-biographie.de/sfz59873.html
"Megede, Hans zur",1809 bis 1882,,,,,133613763,0,0,http://www.deutsche-biographie.de/sfz101_00667_1.html
"Meinhardt, Wilhelm",1872 bis 1955,Schwedt/Oder,wirk0,53.059629,14.281539,127299904,1,0,http://www.deutsche-biographie.de/sfz102_00197_1.html
"Meinhardt, Wilhelm",1872 bis 1955,London,wirk1,51.508530,-0.125740,127299904,1,0,http://www.deutsche-biographie.de/sfz102_00197_1.html
"Medem, Alexander Graf von",1803 bis 1859,,,,,117559946,0,0,http://www.deutsche-biographie.de/sfz101_00572_1.html
"Meier, Mathias",1880 bis 1949,Vilsheim,wirk0,48.450000,12.116669,117554650,1,0,http://www.deutsche-biographie.de/sfz102_00062_1.html
"Meister, Carl August",1818 bis 1876,,,,,116871105,0,0,http://www.deutsche-biographie.de/sfz60174.html
"Mehlis, Georg",1878 bis 1942,,,,,117002747,0,0,http://www.deutsche-biographie.de/sfz125042.html
"Meinl, Josef Anton",1754 bis 1823,,,,,136772498,0,0,http://www.deutsche-biographie.de/sfz60024.html
"Meidinger, Hermann",1842 bis 1898,,,,,135941318,0,0,http://www.deutsche-biographie.de/sfz59869.html
"Mayreder, Julius",1860 bis 1911,,,,,133107701,0,0,http://www.deutsche-biographie.de/sfz59634.html
"Medek, Tilo",1940 bis 2006,Jena,wirk0,50.928780,11.589900,123558298,1,0,http://www.deutsche-biographie.de/sfz101_00568_1.html
"Medek, Tilo",1940 bis 2006,Duderstadt,wirk1,51.513120,10.259510,123558298,1,0,http://www.deutsche-biographie.de/sfz101_00568_1.html
"Mayrhofen zu Koburg und Anger, Stephan von",1751 bis 1848,,,,,128270403,0,0,http://www.deutsche-biographie.de/sfz101_00442_1.html
"Meininghaus, August",1867 bis 1945,,,,,116864508,0,0,http://www.deutsche-biographie.de/sfz102_00227_1.html
"Meinong von Handschuchsheim, Rafael",1849 bis 1936,,,,,136773044,0,0,http://www.deutsche-biographie.de/sfz60035.html
"Meissner, Paul",1897 bis 1945,,,,,116870605,0,0,http://www.deutsche-biographie.de/sfz102_00359_1.html
"Mediger, Walther",1915 bis 2007,,,,,104905697,0,0,http://www.deutsche-biographie.de/sfz101_00606_1.html
"Mehler, Gustav",1835 bis 1895,Schönlanke,wirk0,53.040630,16.456279,126598363,1,0,http://www.deutsche-biographie.de/sfz101_00704_1.html
"Mehler, Gustav",1835 bis 1895,Elbing,wirk1,54.152200,19.408840,126598363,1,0,http://www.deutsche-biographie.de/sfz101_00704_1.html
"Mehler, Gustav",1835 bis 1895,Danzig,wirk2,54.352049,18.646370,126598363,1,0,http://www.deutsche-biographie.de/sfz101_00704_1.html
"Mehler, Gustav",1835 bis 1895,Elbing,wirk3,54.152200,19.408840,126598363,1,0,http://www.deutsche-biographie.de/sfz101_00704_1.html
"Mehler, Gustav",1835 bis 1895,Fraustadt,wirk4,51.807049,16.316629,126598363,1,0,http://www.deutsche-biographie.de/sfz101_00704_1.html
"Meil, Johann Christoph",1698 bis 1734,,,,,136779816,0,0,http://www.deutsche-biographie.de/sfz59933.html
"Mayrhofer, Matthias Remigius",1744 bis 1798,,,,,136765742,0,0,http://www.deutsche-biographie.de/sfz59642.html
"Meding, Ernst von",1806 bis 1875,,,,,136768369,0,0,http://www.deutsche-biographie.de/sfz59748.html
"Meiner, Hans",1894 bis 1963,,,,,131396528,0,0,http://www.deutsche-biographie.de/sfz102_00164_1.html
"Mehlhose, Carl Hermann Philipp",1863 bis 1936,,,,,13677167X,0,0,http://www.deutsche-biographie.de/sfz59829.html
"Meckel, Christoph",geboren 1935,,,,,118579819,0,0,http://www.deutsche-biographie.de/sfz127956.html
Meinhard von Sponheim,erwähnt 1124 oder 1132 ,,,,,1020853751,0,0,http://www.deutsche-biographie.de/sfz123870.html
"Meder, Johann Friedrich",1639 bis 1689,,,,,136767109,0,0,http://www.deutsche-biographie.de/sfz59716.html
"Mednýanszky, Alois Freiherr von",1784 bis 1844,,,,,100521878,0,0,http://www.deutsche-biographie.de/sfz59762.html
"Medem, Peter Graf von",18./30.1.1801 bis 1877,,,,,130115118,0,0,http://www.deutsche-biographie.de/sfz101_00584_1.html
"Meding, Hans von",1868 bis 1917,,,,,133232360,0,0,http://www.deutsche-biographie.de/sfz59751.html
"Meiningen, Familie",unbekannt,,,,,124587844,0,0,http://www.deutsche-biographie.de/sfz102_00224_1.html
"Meibom, Marcus",1630 bis 1711,Utrecht,wirk0,52.090829,5.122220,124792367,1,0,http://www.deutsche-biographie.de/sfz101_00764_1.html
"Meerwein, Fred Willem",1813 bis 1852,,,,,136768601,0,0,http://www.deutsche-biographie.de/sfz59779.html
"Meinecke, Walter",geboren 1903,,,,,142664952,0,0,http://www.deutsche-biographie.de/sfz59971.html
"Meding, Ernst August von",1711 bis 1794,,,,,136768350,0,0,http://www.deutsche-biographie.de/sfz59747.html
"Mehmke, August Heinrich",1793 bis 1873,,,,,136773419,0,0,http://www.deutsche-biographie.de/sfz59831.html
"Mazzetti von Roccanova, Anton Jakob Freiherr",gestorben 1842,,,,,142998818,0,0,http://www.deutsche-biographie.de/sfz59650.html
"Mecklenburg, Werner Hermann",geboren 1880,Berlin,wirk0,52.500000,13.416669,116988983,1,0,http://www.deutsche-biographie.de/sfz101_00559_1.html
"Mecklenburg, Werner Hermann",geboren 1880,Schwerin,wirk1,53.629370,11.413159,116988983,1,0,http://www.deutsche-biographie.de/sfz101_00559_1.html
"Meindl, Christoph",1628 bis 1690,,,,,129820245,0,0,http://www.deutsche-biographie.de/sfz102_00135_1.html
"Meelfürer, Johann Burkhard",unbekannt,,,,,,0,0,http://www.deutsche-biographie.de/sfz125358.html
"Meier, Karl Theodor",1810 bis 1864,,,,,101012950,0,0,http://www.deutsche-biographie.de/sfz102_00059_1.html
"Meer, Hermann ter",1813 bis 1887,,,,,137311389,0,0,http://www.deutsche-biographie.de/sfz59773.html
