name,date,cities,funct,lat,longi,idn,iplace,ibio,url
"Seidl, Christoph",um 1695 bis 1762,,,,,137338147,0,0,http://www.deutsche-biographie.de/sfzS13176.html
"Seltmann, Heinrich",geboren 1926,,,,,1018811699,0,0,http://www.deutsche-biographie.de/sfz121152.html
"Sellheim, Hugo",1871 bis 1936,Düsseldorf,wirk0,51.221719,6.776160,117474606,1,0,http://www.deutsche-biographie.de/sfzS13578.html
"Sellheim, Hugo",1871 bis 1936,Leipzig,wirk1,51.339444,12.371111,117474606,1,0,http://www.deutsche-biographie.de/sfzS13578.html
"Seligmann, Ingeborg",geboren 1918,,,,,1018730575,0,0,http://www.deutsche-biographie.de/sfz121117.html
"Seidler, Gustav",1858 bis 1933,,,,,104361573,0,0,http://www.deutsche-biographie.de/sfzS13218.html
"Seifert, Franz",1866 bis 1951,Schönkirchen <Niederösterreich>,wirk0,48.350000,16.699999,140472991,1,0,http://www.deutsche-biographie.de/sfzS13260-5.html
"Seifert, Franz",1866 bis 1951,Linz,wirk1,48.306390,14.286110,140472991,1,0,http://www.deutsche-biographie.de/sfzS13260-5.html
"Seifert, Franz",1866 bis 1951,Wien,wirk2,48.208199,16.371690,140472991,1,0,http://www.deutsche-biographie.de/sfzS13260-5.html
"Seifert, Franz",1866 bis 1951,Linz,wirk3,48.306390,14.286110,140472991,1,0,http://www.deutsche-biographie.de/sfzS13260-5.html
"Seiferheld, Georg Heinrich",1757 bis 1818,,,,,100402771,0,0,http://www.deutsche-biographie.de/sfzS13248.html
"Senders, Ernestine",1874 bis 1941,,,,,117471844,0,0,http://www.deutsche-biographie.de/sfzS13715.html
"Seippel, Hermann",1884 bis 1937,,,,,133756424,0,0,http://www.deutsche-biographie.de/sfzS13377.html
"Seidl, Siegfried",1911 bis 1947,,,,,120713764,0,0,http://www.deutsche-biographie.de/sfzS13203.html
"Senge, Günter",1927 bis 1994,,,,,119558920,0,0,http://www.deutsche-biographie.de/sfzS13768.html
"Seitz, Helma",1913 bis 1995,Köln,wirk0,50.933333,6.950000,132224097,1,0,http://www.deutsche-biographie.de/sfzS13413.html
"Seitz, Helma",1913 bis 1995,Linz,wirk1,48.306390,14.286110,132224097,1,0,http://www.deutsche-biographie.de/sfzS13413.html
"Seiter, Agostino",1683 bis um 1742   ,,,,,1018726624,0,0,http://www.deutsche-biographie.de/sfz121023.html
"Seifert, Josef",1890 bis 1950,Wien,wirk0,48.208199,16.371690,104275057,1,0,http://www.deutsche-biographie.de/sfzS13267.html
"Seifert, Josef",1890 bis 1950,Wien,wirk1,48.208199,16.371690,104275057,1,0,http://www.deutsche-biographie.de/sfzS13267.html
"Seifert, Hugo",geboren 1860,,,,,127934626,0,0,http://www.deutsche-biographie.de/sfzS13264.html
"Seifert, Else",1879 bis 1968,Dresden,wirk0,51.050890,13.738319,126600341,1,0,http://www.deutsche-biographie.de/sfzS13258-5.html
"Seifert, Else",1879 bis 1968,Dresden,wirk1,51.050890,13.738319,126600341,1,0,http://www.deutsche-biographie.de/sfzS13258-5.html
"Seltmann, Christian",geboren 1936,,,,,1018811265,0,0,http://www.deutsche-biographie.de/sfz121151.html
"Seleskowitz, Louise",1830 bis nach 1899,Bad Deutsch-Altenburg,wirk0,48.134250,16.906240,127041370,1,0,http://www.deutsche-biographie.de/sfzS13501.html
"Selchow, Bogislaw von",1877 bis 1943,,,,,117473537,0,0,http://www.deutsche-biographie.de/sfzS13480.html
"Sembdner, Gustav",1876 bis 1959,,,,,1018813837,0,0,http://www.deutsche-biographie.de/sfz121181.html
"Seiffert, Max",1868 bis 1948,,,,,117466506,0,0,http://www.deutsche-biographie.de/sfz123620.html
"Sellius, Burchard Adam",1707 bis 1745,,,,,12416269X,0,0,http://www.deutsche-biographie.de/sfzS13585.html
"Sembach-Krone, Frieda",1915 bis 1995,,,,,122077032,0,0,http://www.deutsche-biographie.de/sfzS13644.html
"Senckenberg, Balthasar",1539 bis vor 1593   ,,,,,1018823069,0,0,http://www.deutsche-biographie.de/sfz121228.html
"Seidel, Hans August",geboren 1910,,,,,1018622772,0,0,http://www.deutsche-biographie.de/sfz120938.html
"Seligmann, Adalbert Franz",1862 bis 1945,,,,,117473995,0,0,http://www.deutsche-biographie.de/sfz121112.html
"Senefelder, Georg",1778 bis 1849,,,,,138372470,0,0,http://www.deutsche-biographie.de/sfz80038.html
"Seinemeyer, Meta",1895 bis 1929,,,,,129743461,0,0,http://www.deutsche-biographie.de/sfzS13345.html
"Seidel, Helmut",1929 bis 2007,,,,,130220574,0,0,http://www.deutsche-biographie.de/sfzS13109.html
"Semmelroth, Wilhelm",1914 bis 1992,,,,,138468141,0,0,http://www.deutsche-biographie.de/sfz121193.html
"Seitter, Waltraut Carola",1930 bis 2007,Zwickau,wirk0,50.727240,12.488390,137375727,1,0,http://www.deutsche-biographie.de/sfzS13398-6.html
"Semm, Kurt",1927 bis 2003,,,,,123440173,0,0,http://www.deutsche-biographie.de/sfz128073.html
"Seidel, Robert",1850 bis 1933,,,,,117463663,0,0,http://www.deutsche-biographie.de/sfzS13141.html
"Sellnick, Max",1884 bis 1971,Rauschen <Königsberg>,wirk0,54.939869,20.154789,126813337,1,0,http://www.deutsche-biographie.de/sfzS13595.html
"Sellnick, Max",1884 bis 1971,Schmalenbeck <Großhansdorf>,wirk1,53.649999,10.266669,126813337,1,0,http://www.deutsche-biographie.de/sfzS13595.html
"Seligmann, Lemle Elias",gestorben 1816,,,,,1018790071,0,0,http://www.deutsche-biographie.de/sfz121091.html
"Selhamer, Georg",1641 bis 1691,,,,,1018730214,0,0,http://www.deutsche-biographie.de/sfz121085.html
"Senf, Johann",1505 bis 1560,,,,,119511096,0,0,http://www.deutsche-biographie.de/sfzS13731.html
