name,date,leben,lengthleben,idn,iplace,ibio,url
"Šafarik, Adalbert",1829 bis 1902,,0,116743476,0,0,http://www.deutsche-biographie.de/sfz38627.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd104183543.html
"Ach, Manfred",1946 - ,,0,118179772,1,0,http://www.deutsche-biographie.de/pnd118179772.html
"Abd-al-Madschid <I., Osmanisches Reich, Sultan>",1823 - 1861,,0,118893106,0,0,http://www.deutsche-biographie.de/pnd118893106.html
Abraham <Waldensis>,[um 1300],,0,10241789X,0,0,http://www.deutsche-biographie.de/pnd10241789X.html
"Aarland, Johann Carl Wilhelm",1822 - 1906,,0,132216736,1,0,http://www.deutsche-biographie.de/pnd132216736.html
"Abaitua de Nägele, Begoña",1941 - ,,0,1035437414,1,0,http://www.deutsche-biographie.de/pnd1035437414.html
"Abdel-Malek, Anouar",1924 - 2012,,0,123599741,1,0,http://www.deutsche-biographie.de/pnd123599741.html
"Abel, Alfred",1879 - 1937,,0,116001313,1,0,http://www.deutsche-biographie.de/pnd116001313.html
"Abromeit, Peter",1951 - ,,0,132242729,1,0,http://www.deutsche-biographie.de/pnd132242729.html
"Abu-'š-Šaiẖ, ʿAbdallāh Ibn Muḥammad",[887] - [979],,0,102370176,0,0,http://www.deutsche-biographie.de/pnd102370176.html
"Abeling, Theodor",1862 - ,,0,116002239,0,0,http://www.deutsche-biographie.de/pnd116002239.html
"Herold, Georg","erwähnt 1868, gestorben 1871",,0,135923670,0,0,http://www.deutsche-biographie.de/sfz30215.html
"Herschel, Wilhelm",geboren 1895,,0,118550012,1,0,http://www.deutsche-biographie.de/sfz066_00634_1.html
"Herter, Konrad",geboren 1891,,0,118550055,0,0,http://www.deutsche-biographie.de/sfz066_00659_1.html
"Hertz, Hans Adolf",1848 bis 1895,,0,116754052,0,0,http://www.deutsche-biographie.de/sfz30340.html
"Hermann, Caspar",1871 bis 1934,,0,124899587,0,0,http://www.deutsche-biographie.de/sfz066_00386_1.html
"Herlitz, Georg",1885 bis 1968,,0,119380579,0,0,http://www.deutsche-biographie.de/sfz130254.html
"Herliscka, Bohumil",1919 bis 2006,,0,119054914,0,0,http://www.deutsche-biographie.de/sfz066_00253_1.html
"Herz, Joseph",geboren 1855,,0,136481272,0,0,http://www.deutsche-biographie.de/sfz49340.html
Hermann,"erwähnt 1253, gestorben 1287 oder 1289 ",,0,136099017,0,0,http://www.deutsche-biographie.de/sfz23019.html
Hermann Graf von Winzenburg,um 1083    bis zwischen 1130 und 1140 ,,0,139148477,0,0,http://www.deutsche-biographie.de/sfz85834.html
Hermann,gestorben 1087,,0,13663575X,0,0,http://www.deutsche-biographie.de/sfz49335.html
"Hertzberg, Julius Graf von",1826 bis 1887,,0,13590224X,0,0,http://www.deutsche-biographie.de/sfz31447.html
"Herzig, Ludwig",geboren 1872,,0,106310410,1,0,http://www.deutsche-biographie.de/sfz066_00827_1.html
"Herstatt, Friedrich",1775 bis 1851,,0,135924316,0,0,http://www.deutsche-biographie.de/sfz30296.html
Herstatt,unbekannt,,0,118550020,0,0,http://www.deutsche-biographie.de/sfz066_00639_1.html
"Herzfeld-Wüsthoff, Günter",1893 bis 1969,,0,119539330,0,0,http://www.deutsche-biographie.de/sfz066_00818_1.html
"Hertz, Gustav",1887 bis 1975,,0,118703927,0,0,http://www.deutsche-biographie.de/sfz70130.html
"Hermann, Johann Eucharius",1666 bis 1724,,0,135906237,0,0,http://www.deutsche-biographie.de/sfz30158.html
"Hermann, Hans Rudolf",1805 bis 1879,,0,117749451,0,0,http://www.deutsche-biographie.de/sfz066_00361_1.html
"Herwarth von Bittenfeld, Hans",1904 bis 1999,,0,118550101,1,0,http://www.deutsche-biographie.de/sfz066_00737_1.html
Hermann II.,gestorben 1177,,0,138771308,0,0,http://www.deutsche-biographie.de/sfz70113.html
"Hertz, Adolph",1865 bis 1912,,0,13592488X,0,0,http://www.deutsche-biographie.de/sfz30334.html
"Hermann, Hermann Julius",1869 bis 1953,,0,129189766,0,0,http://www.deutsche-biographie.de/sfz42506.html
Hermann II.,"erwähnt 1143, gestorben 1152",,0,138771952,0,0,http://www.deutsche-biographie.de/sfz70122.html
"Herrmann, Anton",1851 bis 1926,,0,116746475,0,0,http://www.deutsche-biographie.de/sfz066_00539_1.html
"Herold, Johann von",1625 bis 1656,,0,138716056,0,0,http://www.deutsche-biographie.de/sfz70124.html
"Hertling, Philipp Freiherr von",1756 bis 1810,,0,136194575,0,0,http://www.deutsche-biographie.de/sfz30322.html
