name,date,leben,lengthleben,idn,iplace,ibio,url
"Benedict, Georg Wilhelm",1648 - 1719,,0,1019758260,0,0,http://www.deutsche-biographie.de/pnd1019758260.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd1014910455.html
Benedictus <Nomentanus>,[um 751],,0,102424284,0,0,http://www.deutsche-biographie.de/pnd102424284.html
"Benedicti, Hieronymus",1756 - 1809,,0,129767581,0,0,http://www.deutsche-biographie.de/pnd129767581.html
"Beran, Katja",1968 - ,,0,13768438X,0,0,http://www.deutsche-biographie.de/pnd13768438X.html
"Bentinck, William Henry Cavendish",1774 - 1839,,0,118741527,0,0,http://www.deutsche-biographie.de/pnd118741527.html
"Benkard, Georg",1881 - 1955,,0,102120404,0,0,http://www.deutsche-biographie.de/pnd102120404.html
"Benz, Heinz",1890 - 1930,,0,1036335186,0,0,http://www.deutsche-biographie.de/pnd1036335186.html
"Bender, Helmut",1925 - 2007,,0,119037947,0,0,http://www.deutsche-biographie.de/pnd119037947.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd101482000.html
"Bennett, William Andrew Cecil",1900 - 1979,,0,119545829,0,0,http://www.deutsche-biographie.de/pnd119545829.html
Benedictus <Stendal>,[15. Jh.],,0,102424349,0,0,http://www.deutsche-biographie.de/pnd102424349.html
"Berckhmyller, Jacob",1601,,0,120263629,0,0,http://www.deutsche-biographie.de/pnd120263629.html
"Hasselmann, Wilfried",1924 - 2003,,0,118819984,0,0,http://www.deutsche-biographie.de/pnd118819984.html
"Hauswirth, René",1933 - ,,0,107432994,0,0,http://www.deutsche-biographie.de/pnd107432994.html
"Haueter, Bruno",1952 - ,,0,1046110470,0,0,http://www.deutsche-biographie.de/pnd1046110470.html
"Haubenschmid, Johann Nepomuk",1792 - 1858,,0,1042335508,1,0,http://www.deutsche-biographie.de/pnd1042335508.html
"Haufler, Max",1910 bis 1965,,0,12813626X,0,0,http://www.deutsche-biographie.de/pnd1021354368.html
"Hassauer, Friederike",1951 - ,,0,116514256,0,0,http://www.deutsche-biographie.de/pnd116514256.html
"Hauer, Karl",1875 - 1919,,0,139199780,1,0,http://www.deutsche-biographie.de/pnd139199780.html
"Haselhuhn, Werner",1925 - 2007,,0,119495805,1,0,http://www.deutsche-biographie.de/pnd119495805.html
"Hasselberg, Viola",1968 - ,,0,1038589991,1,0,http://www.deutsche-biographie.de/pnd1038589991.html
"Hassel, Paul",1838 - 1906,,0,116515015,0,0,http://www.deutsche-biographie.de/pnd116515015.html
"Hartwig, Hans",1917 - 1994,,0,1030395063,0,0,http://www.deutsche-biographie.de/pnd1030395063.html
"Hauptmann, Helmut",1928 - ,,0,1038593646,1,0,http://www.deutsche-biographie.de/pnd1038593646.html
"Hase, Friedrich",1818,,0,1025376978,0,0,http://www.deutsche-biographie.de/pnd1025376978.html
"Haug-Titel, Britta",1929 - ,,0,116526963,1,0,http://www.deutsche-biographie.de/pnd116526963.html
"Hasler, Gottlieb",1848[19. Jh.],,0,1042335672,1,0,http://www.deutsche-biographie.de/pnd1042335672.html
"Haupt, Zygmunt",1907 - 1975,,0,121545539,0,0,http://www.deutsche-biographie.de/pnd121545539.html
"Hausman, Andreas",1661-16881688,,0,129577707,1,0,http://www.deutsche-biographie.de/pnd129577707.html
"Hauschild, Heinrich Moritz",1825 - 1904,,0,1034744534,1,0,http://www.deutsche-biographie.de/pnd1034744534.html
"Hasler, Gabriele",1957 - ,,0,120491036,0,0,http://www.deutsche-biographie.de/pnd120491036.html
"Hauber, Katharina",[2. H. 18. Jh.],,0,142872571,0,0,http://www.deutsche-biographie.de/pnd142872571.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd116510846.html
"Haspel, Friedrich Ernst",1721 - 1763,,0,139940286,0,0,http://www.deutsche-biographie.de/pnd139940286.html
"Hasluck, Paul",1905 - 1993,,0,119248239,0,0,http://www.deutsche-biographie.de/pnd119248239.html
"Haupt, Klaus",1930 - ,,0,12071213X,0,0,http://www.deutsche-biographie.de/pnd12071213X.html
"Hassemer, Winfried",1940 - 2014,,0,122137787,1,0,http://www.deutsche-biographie.de/pnd122137787.html
"Haughton, Hugh",1948 - ,,0,135761174,1,0,http://www.deutsche-biographie.de/pnd135761174.html
Hartwig <von Raute>,[12. Jh.],,0,101244975,0,0,http://www.deutsche-biographie.de/pnd101244975.html
"Haustein, Beatrix",1974 - 2002,,0,11411742X,0,0,http://www.deutsche-biographie.de/pnd11411742X.html
"Hase, Rosa",1977 - ,,0,1038565812,1,0,http://www.deutsche-biographie.de/pnd1038565812.html
"Haude, L.",1822,,0,1050650212,0,0,http://www.deutsche-biographie.de/pnd1050650212.html
"Hasler, Bernhard",1884 - 1945,,0,116513713,0,0,http://www.deutsche-biographie.de/pnd116513713.html
"Hausdorff, Rita",1905 - 1953,,0,116537442,1,0,http://www.deutsche-biographie.de/pnd116537442.html
"Hauchin, Jean",1589,,0,122185633,0,0,http://www.deutsche-biographie.de/pnd122185633.html
"Hauenstein, Johann Wilibald",1505 - 1539,,0,1012555844,1,0,http://www.deutsche-biographie.de/pnd1012555844.html
,,,0,,0,0,http://www.deutsche-biographie.de/pnd131692968.html
Haspel,[um 1356],,0,103080848,0,0,http://www.deutsche-biographie.de/pnd103080848.html
